Competition	Year
AM TPIT Dan Mazzei Meet	2018
MSF	2018
TYR Spring Classic Closed	2018
VIII Leskovacki Pobednik	2018
NJ BAC April Splash & Dash	2018
Saint Louis Showcase	2018
OR CRST Big Wave Decathlon	2018
NC WAVE Sprint into LC	2018
LA TAQ Spring Invitational	2018
NC YBAC Spring LC Invitat	2018
Betsy Dunbar Long Course Invit	2018
NT MTRO LC Time Trial Extravaganz	2018
MR COND May Meters Matter Invitational	2018
CA LKWD Lakewood Aquatics April L	2018
CCAA-CEM Spring Long Course Un	2018
FL WIN Winter Haven Stingrays Rowdy Cup	2018
MI DRD Stars and Stripes Swim	2018
Dolphin Swim Club Fall invitat	2018
PV PAC Dive into Spring LC	2018
Arizona Long Course Open	2018
NI TTSC Natalie Lewis Spring Invitational	2018
Potomac Valley 14&U Championships	2018
NC STAR April Friday Night At The Races	2018
MR AGUA Memorial Day Invitational	2018
CT BULL Silver Invite	2018
PC SCSC Santa Clara Walk On Meet	2018
Family Guardian Barracuda Invitational	2018
Friday Night at the Races #3	2018
Miami Spring Meet - Transition Meet	2018
AZ PSC Phoenix Spring Invitational	2018
OK KMSC Spring Twister	2018
NC QCD Long Course Invitational	2018
OR THSC Summer Classic	2018
MA NLAC Summer Kickoff	2018
2018 OH PHST Jill Griesse Memo	2018
18th FINA World Championships	2019
FINA World Cup - Singapore	2019
FINA Champions Swim Series	2019
FINA World Cup - Jinan	2019
CA MVN Fran Crippen Memorial Swim Meet of Champions	2019
Чемпионат России Championship of Swimming in Russia	2019
FINA World Cup - Tokyo	2019
Panamerican Games	2019
TYR Pro Swim Series - Richmond	2019
Polish National Championships	2019
LEN European Junior Championships	2019
Phillips 66 Summer National Championships	2019
SA National Aquatic Championship	2019
TYR Pro Swim Series - Des Moines	2019
7th FINA World Junior Championship	2019
TYR Pro Swim Series - Bloomington	2019
Polish Cup Arena Grand Prix	2019
TYR Pro Swim Series - Knoxville	2019
2019 Malmsten Swim Open Stockholm	2019
Phillip 66 National Time Trials	2019
SE AU Richard Quick Invitational	2019
GA ABSC Bulldog Grand Slam	2019
Southern Zone South Sectional	2019
Southern Zone South Sectional Championships	2019
SwimCup Eindhoven	2019
TYR Pro Swim Series - Clovis	2019
PC PASA-BAC Dual	2019
Long Course Turkish championship	2019
ARENA Grand Prix de Natación S	2019
2019 Canadian Swimming Trials	2019
2019 Aon New Zealand Open Championships	2019
CA GWSC Golden West Senior Meet	2019
Diamond Speedo Race	2019
German National Championships Deutsche Meisterschaften	2019
Flanders Swimming Cup	2019
SE ENSW Ensworth July Invitational	2019
GA SCAT Atlanta Classic Swim Meet	2019
AZ MAC Speedo Invitational	2019
Middle Atlantic Senior Long Course Championship	2019
37. Internationales Hi-Point Meeting	2019
27e MISO	2019
Speedo Grand Challenge	2019
SI CSA TYR Splash & Dash Meet	2019
Liberty Insurance Singapore National Age Group Swimming Championship	2019
Speedo Champions Series - Greensboro	2019
Campeonatos Nacionais Juvenis e Absolutos de Portugal	2019
TYR Pro Swim Series - Richmond Time Trials	2019
Multination Junior	2019
Neo garden 15th Singapore National Championship	2019
North Carolina Swimming Long Course Senior Championships	2019
Speedo Junior National Championships	2019
CA TROJ Los Angeles Invitational	2019
Irish Open LC Championships	2019
2019 RBC Canadian Swimming Championships	2019
Langbahn-Schweizermeisterschaft	2019
Speedo Champions Series - Gainesville	2019
New Zealand Age Group Championships	2019
Speedo Eastern Canadian Championships	2019
CCCAN Championships	2019
Speedo Champions Series - Southern - College Station	2019
Mel Zajac Jr. International Swim Meet	2019
Bulgarian Open Team Championship	2019
4. Velika nagrada Slovenije in MM Pingvinček`19	2019
ST TXLA 11 & Over End of School Splash	2019
Speedo Champions Series - Santa Clarita	2019
Irish Summer Nationals	2019
GU AGS Texas Senior Circuit Long Course	2019
Speedo Champions Series - Austin	2019
Otvoreno prvenstvo Srbije	2019
Grand Prix - Macedonia	2019
Victorian Open Championships	2019
CSi SOSC Qualifying Meet	2019
Pacific Northwest Swimming Senior Championships	2019
Letnje prvenstvo Srbije za juniore i apsolutno (Serbian Summer Nationals)	2019
ST TXLA 11&Over Long Course	2019
6. Int. Innsbrucker Schwimmmeeting	2019
Campeonato Nacional Open de Natacion	2019
2. Internationler Umblin Swim Cup Schwimmclub Frauenfeld	2019
USA Swimming Futures Championships (Des Moines)	2019
100. Eesti Meistrivõistlused ujumises	2019
Speedo Champions Series - Minneapolis	2019
16e Meeting Lemanique	2019
Arizona Long Course Senior Open Championships	2019
Santa Clara International	2019
Potomac Valley Senior Championships	2019
Minnesota Swimming Senior Long Course Championships	2019
Georgia Open	2019
NC MAC Charlotte Ultraswim	2019
X Meeting Internacional da Povoa de Varzim	2019
Slovak National Swimming Championship	2019
Indiana Senior State Long Course Championships	2019
AZ SAC Cactus Classic	2019
PC WCAB Senior II Meet	2019
YMCA Long Course National Championships	2019
NC TAC TYR Triangle Classic	2019
USA Swimming Futures Championships (Mount Hood)	2019
Speedo Champions Series - Indianapolis	2019
Первенство России среди юниоров / Russian Junior Championships	2019
NJ EEX Jeffrey S Mace Memorial Summer	2019
Easter International Swim Meet 2019	2019
Campeonato Nacional de Natacion	2019
MA BUCK Bucknell Long Course Classic	2019
SM/Para-SM/JSM (50m) 2019	2019
South Carolina Swimming Long Course State Championship	2019
Speedo Champions Series - Cleveland	2019
Sectional Time Trials - Rutgers	2019
NCSA Summer Swimming Championship	2019
Wisconsin Swimming 13 & Over Long Course State Championship	2019
OH PHST Ohio Swimming Senior Championships	2019
AM TPIT Eric Namesnik Memorial Sw	2019
Louisiana State 13 and Over Championships	2019
ST TXLA Longhorn New Year's Classic	2019
2019 West Michigan Classic	2019
New Jersey Swimming Long Course Junior Olympics	2019
IA L4A Swim Pink A+ Invitational	2019
Championnats de France Juniors	2019
Virginia Swimming Senior Long Course Championships	2019
Southern Zone Senior Championships	2019
XXXIV Carifta Swimming Championships	2019
MR LIAC Spring Kick-off Invitational	2019
MI CW Eric Namesnik Memorial	2019
Southeastern Long Course Championship	2019
Speedo Champions Series - Mount Hood	2019
2nd Annual St. Louis Showcase	2019
PC OAPB Far Western LCM Championships	2019
HP Australian Age Championships	2019
Letnie Mistrzostwa Polski juniorów 16-year-olds	2019
Selectivo XVIII Juegos Panamericanos, 18FINA World Swimming	2019
DM/JDM 50m Karlshamn	2019
Georgia Senior State Long Course Championships	2019
FL BSS TYR Summer Classic	2019
AZ PSC Phoenix Summer Invitational	2019
Bahamas National Championship	2019
Speedo Champions Series - Jenks	2019
40. Internationales TUK-Turnier 2019	2019
OH BGSC Summer Invite	2019
Illinois Swimming Senior Long Course Championships	2019
New England Senior Championships	2019
ManSask LC Provincial Championships	2019
Michigan Swimming 13-14 & Open Long Course State Championship	2019
Sun Devil Spring Open	2019
OR MHA Howard Jones Memorial Senior Meet	2019
Miami Super Challenge	2019
Íslandsmeistaramótið í 50m lau	2019
2019 Spring Ontario Swimming Championships	2019
Speedo Champions Series - Rutgers	2019
FL YCF Summer Solstice Invitational	2019
Colorado Swimming Senior Long Course Championships	2019
ISCA TYR Summer Senior Championship	2019
Sommer-Schweizermeisterschaft	2019
Lake Erie Senior Championships	2019
11. April Grand Prix 2019	2019
USA Swimming Futures Championships (Greensboro)	2019
XV Copa Julio Maglione 2019	2019
ISCA TYR Junior Nationals	2019
CA MVN Day-After-CIF	2019
Singapore Swim Series	2019
British Columbia Summer Provincial Championships	2019
2019 MV LCM Championships	2019
Finals - Arena Western Zone Series	2019
Slovenian Championships / Odprto prvenstvo Slovenije	2019
SA Junior National Championships	2019
Speedo Champions Series - Buffalo	2019
Coupe du Québec Été	2019
USA Swimming Futures Championships (Geneva)	2019
48ème Meeting Swann Oberson	2019
Justas de Campeonato LAI 2019	2019
South Dakota Swimming Long Course Championships	2019
Baltic States Swimming Championships 2019	2019
NC GCY LC Single Day Splash	2019
OZ CSC Summer Invite	2019
NC HPSC Tar Heel States Meet	2019
2019 CA FAST SUMMER JOS	2019
Utah Swimming Long Course Championships	2019
PV NCAP June LC Invitational	2019
Florida Gold Coast Senior Long Course Championships	2019
OH SYOSL League Championships	2019
CA MVN Summer Junior Olympics	2019
AZ PSC Phoenix Last Chance	2019
KY CARD Derby Pro Invite	2019
Connecticut Swimming Senior Long Course Championships	2019
Metropolitan Senior Championships	2019
Speedo Western Canadian Championships	2019
CA NOVA June Age Group Invite	2019
2019 Summit Long Course Invite	2019
V Dominican Republic Int. Swim	2019
33. Internationale Deutsche Meisterschaften	2019
2da Clasificatoria LC LAI 2019	2019
USA Swimming Junior National Time Trials	2019
35 Meeting Internacional do Porto	2019
APS Boys' Combined Swimming	2019
NT MARS Bill Nixon Memori	2019
VA LY June Jam	2019
48. Meeting Internazionale del Castello	2019
Para World Series Singapore	2019
CA SCSC Superleague Santa Clara	2019
FL CAT Al Soltis Memorial Meet	2019
Campeonato Nacional Abierto	2019
CA WCAB Post-NCS Senior LCM	2019
Ljetno Prvensvo Republike Srpske	2019
WI LAKE Western Great Lakes Open	2019
MI OLY Summer Classic	2019
GU TWST Senior LC Invite	2019
DLOP Starsha	2019
SCUW Clubmeisterschaften	2019
Open Lithuanian Junior-Youth Championships	2019
43rd South East Asia Group Swimming Championship	2019
SE NAC BridgeAthletic Summer Sizzler	2019
Championnats Speedo - FFBN OPEN	2019
Hawaii Long Course Senior Championship	2019
LE LESD Jerry Holtrey Summer Invitational	2019
FL ATAC Long Course Invitational	2019
San Diego-Imperial Long Course Junior Olympic Championships	2019
KY LAK 91st Ohio Valley Championship	2019
VA CGBD Summer Madness LC Invitation	2019
2019 Grand Prix Invitational	2019
GU TWST Senior Open Meet	2019
Florida Swimming Senior Long Course Championships	2019
Eastern Senior Zone Championship	2019
Eastern Zone Senior Championships Time Trial	2019
XXVII Campeonato Sudamericano Juvenil Natacion	2019
Первенство России среди юношей и девушек / Russian Age Group Championships	2019
XXXIX Copa Pacifico	2019
SE BAY Arena Long Course Invitational	2019
Eesti Juunioride ja Noorte meistrivõistlused	2019
FG SFTL International Classic	2019
OH CM TYR Invite	2019
16. Holiday Trophy 2019	2019
UT CHAT Cottonwood Heights Invitational	2019
SI NCA Senior Time Trial	2019
NE NSSC LCM Specialty Meet at MIT	2019
Swim BC Winter Provincial Championships	2019
MA GPAC May Closed Invitational	2019
FL YCF Short Course Splash	2019
Maryland Swimming Long Course Championships	2019
Kentucky 13 & Over State Long Course Championships	2019
PN TSC Sixth Annual Dick Hannula Invitational	2019
Hawaiian Swimming Age Group Long Course State Championships	2019
Scottish National Age Group Championships	2019
Miami Spring Meet	2019
VA PSDN Long Course Spring Luau	2019
LH-Games 2019	2019
NJ BAC Winter Invite	2019
NC NCAC Meet on the Hill	2019
AR HAWG Aquahawgs LC Opener	2019
NT DM Senior Circuit #1 LCM	2019
Black Sea Cup - Second Edition	2019
Laxaleken	2019
2019 CO TOPS Hilltopper Invite	2019
CA RMDA La Mirada Senior LC Invitational	2019
ST TXLA Texas Open	2019
S'pore Swim Series Presented	2019
Lentecriterium	2019
MI MLA Big Red Challenge	2019
DM 2019 Långbana	2019
Lake Erie Swimming Senior Championships	2019
Sum-Sim (50m) 2019	2019
Multinationals Youth cup 2019	2019
2019 MV UMIZ Invite	2019
Grand Prix International de la ville de La Louvière 2019	2019
MR LIAC Speedo Long Island Challenge	2019
Bulgarian Open Championship	2019
FG NPB Summer Kickoff	2019
47° Meeting Internazionale del Verbano	2019
SNS LCM Championship "The Bill Rose Classic"	2019
WI SWAT Summer Grand Prix	2019
WI PX3 Speedo Premier Open - Wisconsin	2019
MD NBAC Long Course Championship	2019
Letnie Mistrzostwa Polski Juniorow / Polish Juniors 15 & Under	2019
AM LC TPIT Junior Olympic Championships	2019
Victorian Metro Long Course Championship	2019
PC PLS Senior Open	2019
Letnja liga Beograda / Belgrade Summer League	2019
SN CCA Summer Sanders LCM Invitational	2019
FL SYS Sarasota Sharks Open	2019
NC GSA Eastern Invitational	2019
VA 757 Swim Spring Splash	2019
2019 NSW State Open Championships	2019
IN IA Summer Spectacular	2019
Rencontres Genevoises 2019	2019
IV Tournament Spartak	2019
Grand Prix Burgas	2019
Iowa Swimming Long Course Championships	2019
NJ SCAR Scarlet Memorial Day	2019
Speedo Sectionals - Rochester	2019
2019 Swimming Tas LC Age, Open	2019
NC EAC Independence Invitational	2019
ST TXLA Long Course TAGS	2019
Campionati Ticinesi di Categoria Estivi 2019	2019
CA PLS Pleasanton Seahawks Long Cours	2019
Auckland Age Group Championships	2019
ST AAAA Senior Circuit LC	2019
Midwestern Swimming Long Course Championships	2019
MD NBAC Mid-Summer Classic	2019
FL CAT Spring Florida International	2019
GU FCST Gulf Summer Champs	2019
VA NOVA LC Winter Invitational	2019
FL International Championships	2019
2019 Sydney Open	2019
Junior Swiss Championship / Nachwuchs-Schweizermeisterschaft	2019
CC CLOV Arena Grand Challenge	2019
Meeting du Lac 2019	2019
NC YBAC Spring LC Invitat	2019
CT WYW Wilton Wahoos Summer Invitational	2019
CA SCSC Senior Walk On	2019
CA LVSC BRW JAG LC Qualifier	2019
CA GWCA Senior Regional Championships	2019
MD NBAC Spring LC Invitation	2019
OH CAC 24th Annual CAC Summer Meet	2019
FL CAT Escape the Heat Meet	2019
2019 PV RMSC Spring LC Classic	2019
PS PLS Pleasanton Seahawks Long Course Invitational	2019
BISP Flying Fish Invitational	2019
VA SNOW Long Course Invitational	2019
2019 Stars and Stripes	2019
CT WHAT West Hartford Aquatics Invite	2019
CA RMDA La Mirada June Invite	2019
Indiana Age Group Long Course Championships	2019
Arizona Long Course Age Group State Championships	2019
MN AQJT Aquajets Summer Invitational	2019
NI STAR June Kick Off Meet	2019
Illinois Age Group Championships	2019
CA RAA Summer Junior Olympics	2019
CA SLO Firecracker	2019
Championnats Speedo - FFBN Jeunes	2019
Первенство города Абакана, посвященное "Дню Победы в Великой Отечественной Войне"	2019
MA JW Jersey Wahoos Summer Solstice	2019
CT WAC Woodbridge Aquatic Club Invitational	2019
NJ BAC Memorial Day Invitati	2019
MLC Aquatic February Long Course	2019
MD EST Eagle Swim Team Speedo Sizzler	2019
Western Zone Age Group Championship	2019
LE WRSC 51st Freedlander Meet	2019
Malta Championships	2019
Niagara Swimming Long Course Championships	2019
VA BASS Jim Fry Memorial Invitational May	2019
VA TIDE Speedo Red, White and Blue	2019
CA DSS Memorial Day Invite	2019
MR COND Summer Solstice Invitational	2019
3rd Latvian Junior and Youth Championship	2019
2019 SwimRVA Summer Invitational	2019
FL T2 Aquatics Norris Foundation Meet	2019
FG FLA International Cup	2019
Oklahoma Swimming Long Course Championship 2019	2019
1ra Justa Clasificatoria LAI 2	2019
Oregon Swimming 11 & Over Championships	2019
Slovak Junior Championships Majstrovstvá SR juniorov	2019
Mississippi Swimming State Championships	2019
Middle Atlantic Junior Olympic Long Course Championships	2019
Central Zone (ND) Age Group Championship	2019
PV FISH LC Derby	2019
North Carolina Long Course Age Group Championships	2019
MV EKC Rose Memorial	2019
CA BUEN SCS June Age Group Champs	2019
MN HURR Spring into Summer	2019
Eastern Zone Age Group Championships	2019
SE ENSW Ensworth Officially Summer Invitational	2019
Arena Open /NM	2019
UT KYAT Swim Utah Dino Meet	2019
KY KYA Derby Classic Invitat	2019
3ra Clasificatora LC LAI	2019
Central Zone (WI) Age Group Championship	2019
FL WFLA Spring Open	2019
South Texas Age Group Championships (STAGS)	2019
MR PATS Patriot Spring Invitational	2019
Santa Clarita Sectional Time Trials	2019
CA CANY Canyons Aquatic Club Memorial Day Meet	2019
CT WHAT June Invitational	2019
2019 VSI Long Course Age Group	2019
IA IFLY David Armbruster Open	2019
Ozark Swimming Long Course Championships	2019
PVS Long Course 13 & Over Championships	2019
VA TIDE wipe out speedo challenge	2019
PC QSS Super Last Chance Meet	2019
DM/JDM 2019	2019
PC RENO Summer Splash	2019
5. Int. Rheinfallmeeting - Arena Cup	2019
SI SBA National BB Min Al	2019
NT MAC "BB" and lower long course meet	2019
NT MAC North Texas Senior Meet	2019
FL CFM Marlin May Meet	2019
OR MAC Long Course Invitational	2019
PC TERA LCM JO's	2019
AZ MAC Narwhal Invite	2019
CO MAVS Grand Junction Invite	2019
MA KA Memorial Classic	2019
VA WAC Summer Sizzle	2019
LE GLSS Robert F. Busbey Invitational	2019
CO CAC Long Course Open	2019
PV Fish LC June Invitational	2019
GU FCST June Gulf Summer Splash	2019
Campionati Ticinesi e Regionali di Categoria di Mezzofondo	2019
Southern Zones Age Group Championship	2019
FL WFLA Lightning Invitational	2019
ROS Meisterschaften RM Sommer 2019	2019
2019 GCST Spring Open	2019
IA ACAC Summer Detasseler	2019
Arizona Long Course Open	2019
IL PAC Patriot Pride Prelim/Final	2019
WT COM Frost Bank Invitational	2019
Florida Gold Coast Junior Olympics Long Course	2019
2019 Sunshine State Games	2019
PC CARS Intermountain Classic	2019
2019 MV TSA Voorhees-Maxfield	2019
FL BSS 50	2019
PN IST Spring Open A-3 Me	2019
CT GRYM June Invitational	2019
AD SHRK Sharks Invitational	2019
OH CLPR DAVID WEBB	2019
MR LIAC Summertime Classic	2019
FS BSS Bolles School Sharks May	2019
NT MARS Open LC Invitational	2019
5th Annual Karen Hohne Memorial	2019
Ohio Swimming Junior Olympics	2019
2019 GU Bay Area Invitational	2019
NJ HACY Jeff Lowe Summer Fun Meet	2019
FL SYS Sharks Long Course January Inv	2019
CT CDOG June Distance Meet	2019
MV TSA Beach Bash at Blaisdell	2019
AD Long Course Champs	2019
MA NLAC Swimfest Long Course	2019
DLOP Mladsha / Bulgarian Junior Championships	2019
RZO: Regionale Sommermeisterschaften 2019	2019
2019 Alpha Aquatics Internatio	2019
50. Lučkin pokal 2019	2019
Dragons Den International Open	2019
WI FSC Fond du Lac Swim Club SOS	2019
Mako Aquatics Club Spring Invitational	2019
CO TOPS Long Course Tri M	2019
VA STAT LC Invitational	2019
SEASAC Senior Swimming Championship	2019
Finis Cup	2019
TYF ULUSLARARASI MASTERLAR KIŞ YÜZME ŞAMPİYONASI	2019
IL LFSC Daniel Jaekel Friendship Classic	2019
RSR: Championnat Romand Eté	2019
NJ HACY Summer Solstice	2019
WI SSTY Schroeder Distance-Sprint Meet	2019
New Years Invitational	2019
X Copa Internacional Chorotega	2019
SC LSC Carolina Crown Challenge	2019
Prairie Winter International 2	2019
Landsbankamót 13 ára og eldri (National 13&Under)	2019
KAJ Snowfest	2019
29th Centralised SSPA	2019
TYR Pro Series Swim Time Trials	2019
OH BASH PCY Summer Classic	2019
IN FAST Summer Jam Invitational	2019
Western Zone Time Trials	2019
Mega Swim Meet	2019
AZ RIO LC Season Opener	2019
MD CBAC Spring LC Swim Meet	2019
GA SCAT Summer Sizzler	2019
MN MTKA Spring Long Course	2019
MR LIE June Summer Kickofff	2019
MW LSS Capital City Class	2019
2019 PN Dick LaFave A-1 Meet	2019
Polisen HEAD Summer Cup 2019	2019
Internationaler Basler Cup	2019
VA NOVA South Freedom Splash	2019
FG CSSC Coral Springs Invitational	2019
MI YPSI Aqua Splash and Dash	2019
International Bavarian Summer Championships	2019
OH GTAC Holy Toledo Invitational	2019
ST ASC Coup de Gras	2019
Long Course Bison Sprint/	2019
Alaska Long Course Championships	2019
GU ESCA Gulf June Long Cours	2019
NE NSSC Team Specialty at MIT	2019
NT ATAC Long Course A/BB/	2019
CA ORCA Summer Sizzler TF	2019
June Jubilee	2019
48. Internationales Eulach-Meeting	2019
GU ESCA Gulf May LC Meet	2019
NTS February Age Group Championships	2019
Färsingadoppet 2019	2019
IN BBSC Summer Splash	2019
3rd Annual Lyford Cay invitati	2019
IL WEST TYR Dive into Summer	2019
FL EAJ Summer Sizzler	2019
SE NAC All American Spring Classic	2019
UT SUSA LC Kickoff	2019
PV Early Bird LC Invitational	2019
