Year	Competition	Dates
2009	2009 Bulgaria Open	Jul. 10–12, 2009
2009	USC Invitational	Oct. 09–10, 2009
2009	Southern Cal Invitational	Oct. 09–10, 2009
2009	2009 Iowa Swimming Summer State	Jul. 30, 2009 - Aug. 02, 2009
2009	2009 Bulgaria Boys Girls Senior Youth	Jul. 03–05, 2009
2009	2009 Bulgaria Boys Girls Junior	Jun. 26–28, 2009
2010	2010 Speedo Champions Series - Athens	Jul. 15–18, 2010
2010	2010 Junior National Championships	Aug. 09–13, 2010
2010	2010 Speedo Champions Series - California	Jul. 24, 2010
2010	2010 YMCA Long Course Nationals	Aug. 02, 2010
2010	2010 Speedo Champions Series - Mt. Hood	Aug. 02, 2010
2010	2010 Speedo Champions Series - Gainesville (Best Times)	Aug. 02, 2010
2010	Last Chance Meet: Mountain West Conference	Feb. 28, 2010
2010	2010 Speedo Champions Series - Minneapolis	Mar. 10–13, 2010
2010	Last Chance Meet: Georgia - Long Course	Feb. 28, 2010
2010	2010 Speedo Champions Series - Columbia	Jul. 21–24, 2010
2010	2010 Bulgaria Men Women	Mar. 19–21, 2010
2010	2010 Bulgaria Boys Girls Youth	Jul. 25–27, 2010
2010	Last Chance Meet: Ohio State - LC	Mar. 07, 2010
2010	UALR vs. North Texas, Henderson State	Jan. 06, 2010
2010	2010 Bulgaria Boys Girls Junior Summer	Jul. 16–18, 2010
2010	2010 Bulgaria Detsa Summer	Jul. 03–04, 2010
2011	2011 Speedo Sectionals - Fresno, CA	Jul. 20–25, 2011
2011	2011 USA Swimming Junior Nationals	Aug. 08–12, 2011
2011	2011 Speedo Sectionals - Indianapolis, IN	Mar. 24–27, 2011
2011	2012 AT&T National Championships (18 & Unders)	Dec. 01–03, 2011
2011	Missouri Grand Prix (College Teams Only)	Feb. 18–21, 2011
2011	Tennessee Invitational	Nov. 16–18, 2011
2011	2011 Speedo Sectionals - Fort Lauderdale, FL	Mar. 17–20, 2011
2011	2011 Speedo Sectionals - Oklahoma City	Mar. 03–06, 2011
2011	2011 Bulgaria Men Women	Jul. 01–03, 2011
2011	Pittsburgh Invitational	Nov. 18–20, 2011
2011	Florida vs. Georgia	Oct. 28, 2011
2011	Michigan State vs. Cleveland State, Oakland	Oct. 08, 2011
2011	MWC Last Chance Meet - Long Course	Feb. 27, 2011
2011	Navy vs. American, Bucknell, Lafayette	Nov. 05, 2011
2011	Cal Poly vs. UC-San Diego	Dec. 18, 2011
2011	2011 Bulgaria Boys Girls Youth	Jul. 22–24, 2011
2011	2011 Bulgaria Junior	Jul. 14–16, 2011
2011	Loras vs. East Carolina	Jan. 01, 2011
2011	2011 Bulgaria Detsa	Jul. 09–10, 2011
2012	USA Olympic Team Trials	Jun. 25, 2012 - Jul. 02, 2012
2012	Victorian Winter Championships	Jan. 13–15, 2012
2012	2012 Speedo Junior National Championships (LCM)	Aug. 13–17, 2012
2012	2012 YMCA Long Course Nationals	Jul. 23–27, 2012
2012	Victorian Age Championships	Dec. 18–23, 2012
2012	2012 United States Olympic Team Trials - 18 & Under	Jun. 25, 2012 - Jul. 02, 2012
2012	2012 NCSA Jr National Championships - Meters	Mar. 20–24, 2012
2012	2012 Speedo Champions Series - Fairfax, VA (18 & Under)	Mar. 22–25, 2012
2012	Florida vs. Auburn	Jan. 21, 2012
2012	2012 Speedo Champions Series - Federal Way, WA (18 & Under)	Mar. 08–11, 2012
2012	2012 Speedo Champions Series - Columbia, MO	Jul. 18–21, 2012
2012	2012 Speedo Champions Series - Santa Clarita, CA	Jul. 25–30, 2012
2012	2012 Speedo Champions Series - Greensboro, NC (18 & Under)	Mar. 08–11, 2012
2012	2012 Speedo Champions Series - Iowa City	Jul. 19–22, 2012
2012	2012 Speedo Champions Series - College Station, TX (18 & Under - Meters Only)	Mar. 01–04, 2012
2012	Princeton Olympic Trials Qualifying Meet	Mar. 04, 2012
2012	2012 Speedo Champions Series - Jenks, OK	Mar. 01–04, 2012
2012	2012 Speedo Champions Series - Orlando, FL (18 & Under)	Mar. 15–18, 2012
2012	2012 United States Olympic Team Trials - 18 & Under Time Trials	Jun. 25, 2012 - Jul. 02, 2012
2012	2012 Speedo Champions Series - Pleasant Prairie, WI	Mar. 08–11, 2012
2012	2012 Speedo Champions Series - Shenandoah, TX	Jul. 31, 2012 - Aug. 04, 2012
2012	2012 Speedo Champions Series - Fort Lauderdale (18 & Under Results)	Jul. 12–15, 2012
2012	USA Swimming Grand Prix - Missouri (18 & Under Times)	Feb. 10–12, 2012
2012	2012 Bulgaria Men Women	Jul. 13–15, 2012
2012	Mountain West Conference Long Course Invitational	Feb. 26, 2012
2012	2012 Speedo Champions Series - Gresham, OR	Jul. 24–28, 2012
2012	2012 Speedo Champions Series - Oxford, OH	Mar. 22–25, 2012
2012	2012 Speedo Champions Series - Buffalo, NY (18 & Under Results)	Mar. 22–25, 2012
2012	2012 Bulgaria Boys Girls Youth	Jul. 27–29, 2012
2012	MT MAC Firecracker Classic	Jun. 21–24, 2012
2012	2012 Bulgaria Boys Girls (13-14)	Jul. 20–22, 2012
2012	2012 Bulgaria Detsa	Jul. 07–08, 2012
2013	FINA World Championships	Jul. 28, 2013 - Aug. 04, 2013
2013	15th FINA WORLD CHAMPIONSHIPS	Jul. 28, 2013 - Aug. 04, 2013
2013	2013 U.S. Open Swimming Championships	Jul. 30, 2013 - Aug. 03, 2013
2013	2013 USA Swimming Junior National Championships	Aug. 05–09, 2013
2013	2013 Speedo Champions Series LCM - Athlens, GA	Jul. 11–14, 2013
2013	2013 Speedo Champions Series LCM - Orlando	Jul. 18–21, 2013
2013	2013 U.S. Open (18 & Under)	Jul. 30, 2013 - Aug. 03, 2013
2013	2013 Speedo Champions Series LCM - Minneapolis, MN	Jul. 17–20, 2013
2013	2013 Speedo Champions Series LCM- Santa Clarita, CA	Jul. 17–22, 2013
2013	2013 Speedo Champions Series LCM - Oxford, OH	Jul. 22–25, 2013
2013	2013 Speedo Champions Series LCM - Columbia, MO	Jul. 17–20, 2013
2013	2013 Speedo Champions Series LCM - Buffalo	Aug. 01–04, 2013
2013	2013 NCSA Junior National Championships	Mar. 12, 2013
2013	2013 Speedo Champions Series - Fort Lauderdale, FL	Mar. 14–17, 2013
2013	2013 YMCA LC Nationals - Atlanta	Jul. 29, 2013 - Aug. 02, 2013
2013	2013 Speedo Champions Series - Geneva, OH	Mar. 21–24, 2013
2013	2013 Speedo Champions Series - Gresham, OR	Jul. 16–20, 2013
2013	Delta State Christmas Invitational	Dec. 14–17, 2013
2013	2013 VIrginia LSC Championships - LCM	Jul. 18–21, 2013
2013	Saint Marys College of Maryland vs. Mary Washington	Jan. 10, 2013
2013	2013 Speedo Champions Series - Buffalo, NY	Mar. 21–24, 2013
2013	Copa Coqui	Jan. 05, 2013
2013	Frostburg State vs. York (PA)	Jan. 19, 2013
2014	2014 Phillips 66 National Championships	Aug. 06–10, 2014
2014	2014 Arena Grand Prix - Mesa	Apr. 24–26, 2014
2014	2014 Speedo Champions Series LCM - Oxford, OH	Jul. 21–24, 2014
2014	2014 Speedo Junior National Championsips	Jul. 30, 2014 - Aug. 03, 2014
2014	2014 Speedo Champions Series - Plantation, FL	Mar. 13–16, 2014
2014	2014 Speedo Champions Series LCM - Clovis, CA	Jul. 23–27, 2014
2014	2014 Speedo Champions Series LCM - Greensboro, NC	Jul. 17–20, 2014
2014	2014 Speedo Champions Series LCM - Iowa City, IA	Jul. 17–20, 2014
2014	2014 Speedo Champions Series LCM - Columbia, MO	Jul. 16–19, 2014
2014	2014 Speedo Junior National Time Trials	Jul. 30, 2014 - Aug. 03, 2014
2014	2014 Speedo Champions Series LCM - Mt. Hood, OR	Jul. 15–19, 2014
2014	2014 YMCA Long Course National Championships	Jul. 28, 2014 - Aug. 01, 2014
2014	Victorian Age Championships	Sep. 05–07, 2014
2014	2014 Speedo Champions Series LCM - Buffalo, NY	Jul. 24–27, 2014
2014	2014 Florida Swimming Summer LC Championships	Jul. 24–27, 2014
2014	2014 North Carolina Swimming Summer LC Championships	Jul. 24–27, 2014
2014	Western Zone Senior Championships	Jul. 30, 2014 - Aug. 03, 2014
2014	2014 NCSA Junior National Championships	Aug. 05–09, 2014
2014	2014 Speedo Champions Series - Buffalo, NY	Mar. 27–30, 2014
2014	2014 Oregon LC Championships	Jul. 24–27, 2014
2014	European Junior Swimming Championships Dordrecht	Jul. 09–13, 2014
2014	2014 NBAC Mid-Summer Classic	Jul. 11–14, 2014
2014	2014 South Texas End of School Invite	May. 16–18, 2014
2014	2014 Speedo Champions Series LCM - Orlando, FL	Jul. 29, 2014 - Aug. 02, 2014
2014	2014 NCSA Junior National Time Trials	Aug. 05–09, 2014
2014	Clarkson vs. Saint Michaels	Nov. 15, 2014
2014	Eastern Zone Age Group Championships	Aug. 06–09, 2014
2014	Delta State Invitational	Dec. 13–16, 2014
2014	AD Long Course Championships	Jul. 18–20, 2014
2014	2014 Illinois / Indiana Summer Spectacular	Jul. 11–13, 2014
2014	Swiss Junior Championships	Jul. 17–20, 2014
2014	2014 Gulf Open Water Swimming	Oct. 05, 2014
2015	16th FINA World Championships - Kazan, Russia	Aug. 02–09, 2015
2015	2015 Phillips 66 National Championships	Aug. 06–10, 2015
2015	2015 Fina World Cup Meet - Paris	Aug. 15–16, 2015
2015	2015 Fina World Cup Meet - Chartres	Aug. 15–16, 2015
2015	2015 AT&T Winter National Championships	Dec. 03–05, 2015
2015	2015 FINA World Junior Swimming Championships	Aug. 25–30, 2015
2015	2015 AT&T Winter Championships (College)	Dec. 03–05, 2015
2015	Tennessee Invitational	Nov. 20–23, 2015
2015	2015 Speedo Junior National Championships	Jul. 30, 2015 - Aug. 03, 2015
2015	Southern Zone Senior Championships	Jul. 09–12, 2015
2015	2015 Speedo Championship Series - Orlando, FL	Jul. 09–12, 2015
2015	2015 Ca Kevin Perry Senior Invitational	Nov. 06–08, 2015
2015	Georgia Tech Long Course Invitational	Nov. 22, 2015
2015	2015 Georgia Tech Long Course Invitational	Nov. 22, 2015
2015	2015 Phillips 66 National Championships Time Trials	Aug. 06–10, 2015
2015	2015 Speedo Champions Series - Columbia, MO	Jul. 15–18, 2015
2015	2015 AZ Arizona Long Course Senior State	Jul. 23–26, 2015
2015	Hoosierland Invitational	Dec. 03–05, 2015
2015	2015 Hoosierland Closed Invita	Dec. 03–05, 2015
2015	2015 Cincinnati Marlins TYR Sport Summer Classic	Jun. 19–21, 2015
2015	Georgia Tech Last Chance Meet	Mar. 01, 2015
2015	Florida vs. Georgia	Oct. 30, 2015
2015	Indiana vs. Wisconsin	Nov. 13, 2015
2015	Ohio State Invitational	Feb. 14–15, 2015
2015	2015 NCSA Junior Nationals	Mar. 17–21, 2015
2015	2015 Speedo Championship Series- Minneapolis	Jul. 15–18, 2015
2015	Texas vs. Florida, Indiana - LCM	Oct. 16–17, 2015
2015	2015 OH Central Zone Section 3	Jul. 22–25, 2015
2015	2015 Speedo Champions Series - Plantation, FL	Mar. 12–15, 2015
2015	2015 Speedo Champions Series LC - Buffalo	Mar. 26–29, 2015
2015	2015 Futures Championships - West (Mount Hood)	Jul. 30, 2015 - Aug. 02, 2015
2015	2015 YMCA Long Course National Championship	Aug. 03–07, 2015
2015	Georgia Invitational	Feb. 28, 2015 - Mar. 01, 2015
2015	Irish Open Swimming Championships	Apr. 30, 2015 - May. 03, 2015
2015	2015 Speedo Champions Series - Gresham, OR	Jul. 14–18, 2015
2015	Total Performance Invitational	Dec. 03–06, 2015
2015	2015 Speedo Junior National Championships - Time Trials	Jul. 30, 2015 - Aug. 03, 2015
2015	2015 Georgia Senior Long Course State Championships	Jul. 24–26, 2015
2015	2016 NCSA Summer Junior Nationals	Jul. 28, 2015 - Aug. 01, 2015
2015	2015 NCSA Junior National Championships	Jul. 28, 2015 - Aug. 01, 2015
2015	2015 Speedo Champions Series - Indianapolis	Mar. 26–29, 2015
2015	2015 FL Summer Senior Championships	Jul. 23–26, 2015
2015	2015 Futures Championships - Central (West Lafayette)	Jul. 30, 2015 - Aug. 02, 2015
2015	2015 Futures Championships - Central (West Lafayette) Time Trials	Jul. 30, 2015 - Aug. 02, 2015
2015	Delta State Christmas Invitational	Dec. 12–15, 2015
2015	2015 Niagara Long Course Classic NI-1415-230	Jun. 26–28, 2015
2015	Art Adamson Invitational	Nov. 19–21, 2015
2015	2015 Speedo Champions Series - College Station	Feb. 26, 2015 - Mar. 01, 2015
2015	2015 Futures Championships - East (Greensboro)	Jul. 30, 2015 - Aug. 02, 2015
2015	2015 Middle Atlantic LC Senior Championships	Jul. 22–25, 2015
2015	2015 Speedo Winter Junior Nationals - East - LCM Time Trials	Dec. 13, 2015
2015	2015 Speedo Winter Junior Nationals - East - Time Trials	Dec. 13, 2015
2015	2015 Victorian Age Championships	Dec. 12–17, 2015
2015	2015 Speedo Champions Series - Indianapolis Time Trials	Mar. 26–29, 2015
2015	2015 Speedo LCM Champions Series - Austin, TX	Jul. 09–12, 2015
2015	2015 Speedo Champions Series - Ithaca, NY	Mar. 19–22, 2015
2015	2015 PN Pacific Coast	Jul. 23–25, 2015
2015	Purdue Invitational - LCM Time Trials	Nov. 22, 2015
2015	Eastern Zone Senior Championships	Aug. 06–09, 2015
2015	Navy LC Invitational	Dec. 11, 2015
2015	Pittsburgh Invitational	Nov. 20–22, 2015
2015	2015 Hoosierland Time Trials	Dec. 03–05, 2015
2015	Gulf Senior Zone Championships	Dec. 04–06, 2015
2015	Speedo Winter Juniors 2015 Austin LCM time trials - Dec 13, 2015	Dec. 13, 2015
2015	2015 CO CSI LC State Champions	Jul. 23–25, 2015
2015	2015 OH OSSC Peppe Bruce Invit	Jun. 26–28, 2015
2015	2015 AM LC Team Pittsburgh Junior Olympics	Jul. 23–26, 2015
2015	2015 HI Senior FALL Championsh	Nov. 13–15, 2015
2015	2015 South Carolina LC Senior State Championships	Jul. 23–26, 2015
2015	2015 NASA Junior National Cham	Mar. 24–28, 2015
2015	MLC Aquatic Long Course Meet F	Feb. 28, 2015
2015	European Games	Jun. 23–27, 2015
2015	2015 Wisconsin Senior State Championships	Jul. 30, 2015 - Aug. 02, 2015
2015	Dallas Mustangs Senior Circuit #1	May. 29–31, 2015
2015	Western Zone Senior Time Trials	Jul. 29, 2015 - Aug. 02, 2015
2015	2015 Illinois Senior Champs LCM	Jul. 30, 2015 - Aug. 02, 2015
2015	2015 Speedo Champions Series - Far West	Jul. 29, 2015 - Aug. 02, 2015
2015	ACC Long Course Time Trials	Feb. 22, 2015
2015	Eastern Zone Senior Championships - Time Trials	Aug. 06–09, 2015
2015	Copa Coqui Invitational	Jan. 04, 2015
2015	Internationales Weihnachtsschwimmen	Dec. 18–20, 2015
2015	Cleveland State Splash Bash	Sep. 26, 2015
2015	2015 Oklahoma State Long Course Championships	Jul. 24–26, 2015
2015	Surrey Park Long Course Meet 2	Nov. 01, 2015
2015	2015 PC Speedo Adam Szmidt Memorial LC Junior Olympics (TERA)	Jul. 10–12, 2015
2015	AD Long Course Championships Colgate	Jul. 24–26, 2015
2015	7th Annual Rainbow Aquatics Meet	Jun. 06–07, 2015
2015	Victorian Qualifying Meet	Nov. 28–29, 2015
2015	RZW: Regionale Meisterschaften	Jun. 20–21, 2015
2016	2016 Olympic Games	Aug. 08–15, 2016
2016	2016 United States Olympic Trials	Jun. 26, 2016 - Jul. 03, 2016
2016	2016 NOVAQUATICS – SPEEDO GRAND CHALLENGE	May. 27–29, 2016
2016	2016 Arena Pro Swim Series at Charlotte	May. 12–15, 2016
2016	2016 Road To Rio Meet	Jun. 04, 2016
2016	Arena European Junior Swimming Championships	Jul. 06–10, 2016
2016	Arena Pro Swim Series Indianapolis	Jun. 03–05, 2016
2016	U.S. Open	Aug. 02–06, 2016
2016	Western Zone Sectionals	Mar. 31, 2016 - Apr. 03, 2016
2016	Speedo Summer Junior National Championships	Aug. 08–12, 2016
2016	New Zealand Open Championships	Mar. 28, 2016 - Apr. 01, 2016
2016	Southern Premier Championships	Mar. 04–06, 2016
2016	Arena Pro Swim Series (College Results)	Jan. 15–17, 2016
2016	Speedo Champions Series (Roseville)	Jul. 21–25, 2016
2016	Omaha cup	Jun. 17–18, 2016
2016	Florida vs. Auburn	Jan. 23, 2016
2016	Alabama vs. Tennessee	Jan. 08–09, 2016
2016	Atviras Lietuvos plaukimo čempionatas	May. 26–28, 2016
2016	Victorian Open Championships	Jan. 22–24, 2016
2016	XXI Caribbean Islands Swimming Championships 2016, Nassau Bahamas	Jun. 29, 2016 - Jul. 04, 2016
2016	Speedo Champions Series (Columbia)	Jul. 20–23, 2016
2016	2016 Speedo Champions Series (Plantation)	Mar. 10–13, 2016
2016	2016 Speedo Championship Series Meet- Buffalo	Mar. 31, 2016 - Apr. 03, 2016
2016	2016 CA TYR/MVN Fran Crippen Swim Meet of Champions	Apr. 28, 2016 - May. 01, 2016
2016	2016 Speedo Champions Series (College Station)	Feb. 25–28, 2016
2016	Orlando Open	Jul. 27–30, 2016
2016	Pacific Northwest Senior State LCM Championships	Jul. 21–23, 2016
2016	Speedo Champions Series (Mount Hood)	Jul. 20–23, 2016
2016	2016 Senior Metropolitan SCY Winter Championships	Feb. 18–21, 2016
2016	OH OSSC Long Course Time Trial	Feb. 28, 2016
2016	Speedo Champions Series (Orlando)	Jul. 07–10, 2016
2016	Indiana Senior LCM State Championships	Jul. 21–24, 2016
2016	2016 Speedo Champions Series (Federal Way)	Mar. 17–20, 2016
2016	MR Senior Metropolitan LC	Jul. 14–17, 2016
2016	2016 Speedo Champions Series (Geneva)	Mar. 31, 2016 - Apr. 03, 2016
2016	Gulliver Long Course Invitatio	May. 20–22, 2016
2016	2016 Speedo Champions Series (Jenks)	Mar. 03–06, 2016
2016	2016 Speedo Sectionals Championship Series	Mar. 03–06, 2016
2016	2016 NCSA Spring Championship	Mar. 15–19, 2016
2016	2016 OH CATS Bearcat Summer Invitational	Jun. 10–12, 2016
2016	Speedo Sectionals - Columbus	Jul. 20–23, 2016
2016	Speedo Champions Series (Brown Deer)	Jul. 21–24, 2016
2016	2016 USA Swimming Olympic Trials - Time Trials	Jun. 26, 2016 - Jul. 03, 2016
2016	Husky Invitational	Jan. 22–24, 2016
2016	2016 NAC Speedo Summer Sizzler	Jun. 16–18, 2016
2016	Middle Atlantic LC Sr Champs	Jul. 13–16, 2016
2016	Swedish Grand Prix	Jan. 30–31, 2016
2016	2016 Speedo Champions Series (Nashville)	Mar. 03–06, 2016
2016	USA Swimming Futures Championships (Stanford)	Aug. 04–07, 2016
2016	2016 Victorian Sprint Champion	Feb. 06–07, 2016
2016	OSSC Peppe/Bruce Memorial	Jul. 01–03, 2016
2016	2016 Speedo Champions Series (Pleasant Prairie)	Mar. 10–13, 2016
2016	2016 HI Senior LC Championship	Jun. 17–19, 2016
2016	USA Swimming Futures Championships (Austin)	Aug. 04–07, 2016
2016	Tar Heel State Championships	Mar. 18–20, 2016
2016	Purdue LCM Time Trial	Feb. 28, 2016
2016	2016 SPEEDO SECTIONALS AT SPIRE INSTITUTE	Mar. 31, 2016 - Apr. 03, 2016
2016	GULF CHAMPS TWST	Jul. 21–24, 2016
2016	2016 LA TAQ Summer Classic	Jun. 17–19, 2016
2016	2016 The Last Chance Invitational	Jun. 16–19, 2016
2016	ST TXLA LC STAGS	Jul. 14–17, 2016
2016	EZ LCM Sectionals (Southern Region)	Mar. 31, 2016 - Apr. 03, 2016
2016	NCSA Summer Swimming Championship	Sep. 27, 2016 - Aug. 13, 2016
2016	YMCA Long Course National Championships	Jul. 27–31, 2016
2016	Southern Zone Senior Championships	Aug. 02–06, 2016
2016	Hawaiian Swimming Age Group LCM Championship	Jul. 14–17, 2016
2016	EMU Men's Last Chance Meet-LC	Mar. 06, 2016
2016	2016 Indiana Spring Senior State Champioship	Mar. 11–13, 2016
2016	Florida Swimming Senior LCM Championships	Jul. 21–24, 2016
2016	Speedo Champions Series (Austin)	Jul. 07–10, 2016
2016	2016 FL All-Florida Sr. Circuit GCST	May. 13–15, 2016
2016	2016 NCSA Spring Championship Time Trials	Mar. 15–19, 2016
2016	2016 CA SCS/RAA Summer J.O. Championships	Jul. 27–31, 2016
2016	2016 MN AQJT Aquajets Summer Invitational	Jun. 23–26, 2016
2016	Rose Bowl Post-CIF LCM Invitational	May. 15, 2016
2016	Eastern Zone Senior Long Course Championship	Aug. 04–07, 2016
2016	2016 Dolfin Junior National Championship Cup	Mar. 15–19, 2016
2016	ECAC Long Course Invitational	Feb. 24, 2016
2016	Georgia Senior State LCM Championship	Jul. 22–24, 2016
2016	2016 SO CAL June Age Group Invitational	Jun. 16–19, 2016
2016	FL SFTL International	Jun. 17–19, 2016
2016	Delta State Christmas Invitational	Dec. 10–13, 2016
2016	Louisiana Long Course State Championships	Jul. 14–17, 2016
2016	North Carolina Long Course Senior Championship	Jul. 21–24, 2016
2016	2016 Florida Gulf Senior LCM Championships	Jul. 22–24, 2016
2016	Colorado LCM State Championships	Jul. 22–24, 2016
2016	Southern Zone Age Group Championships	Aug. 02–06, 2016
2016	Lake Erie Senior Championships	Mar. 04–06, 2016
2016	BAC CeraVe Invitational	Jan. 08–10, 2016
2016	Irish Long Course Championships 2016	Apr. 28, 2016 - May. 01, 2016
2016	Wisconsin 13 & Over Long Course State Championship	Aug. 04–07, 2016
2016	Eastern Zone Championships	Mar. 24–26, 2016
2016	Cornell vs. Yale	Jan. 05, 2016
2016	Western Zone Senior Championships	Aug. 02–06, 2016
2016	Minnesota Senior State LCM Championships	Aug. 05–07, 2016
2016	67th Annual Husky Invitational (College Results)	Jan. 22–24, 2016
2016	Southeastern LCM Championships	Jul. 21–24, 2016
2016	North American Challenge	Aug. 11–13, 2016
2016	2016 ST ASC Tax Refund Round U	Apr. 15–17, 2016
2016	Niagara LSC LCM Championships	Jul. 29–31, 2016
2016	Illinois Senior LCM Championships	Aug. 04–07, 2016
2016	2016 ST CBA Schlotsky's Summer	Jun. 10–12, 2016
2016	SPA - JULY 1,2,3 2016	Jul. 01–03, 2016
2016	OH AP SWOYSL LC Championships	Jul. 08–10, 2016
2016	South Carolina State LCM Championships	Jul. 21–24, 2016
2016	Maryland LCM State Championships	Aug. 04–07, 2016
2016	Adirondack Long Course Championships	Jul. 22–24, 2016
2016	2016 ST TXLA Long Course Kick Off	Apr. 22–24, 2016
2016	2016 CO Grand Junction Invite	Jun. 23–26, 2016
2016	CA MISSION VIEJO SUMMER J	Jul. 27–31, 2016
2016	MN HOP Long Course Qualif	Jul. 08–10, 2016
2016	2016-2017 Southland Long Cours	Dec. 15–18, 2016
2016	2016 Nunawading Long Course Me	Nov. 12, 2016
2016	PV LC 14&U Championships	Jul. 21–24, 2016
2016	2016 CM TYR Summer Classic	Jun. 24–26, 2016
2016	Air Capital Classic	May. 27–29, 2016
2016	2016 PV Machine Long Course Cl	Apr. 22–24, 2016
2016	Michigan State vs. Iowa, Notre Dame	Sep. 30, 2016
2016	2016 ST AAAA NS George Block Invitational	Jun. 24–26, 2016
2016	2016 PV SNOW LC Spring Classic	May. 07–08, 2016
2016	MT MAC Firecracker Classic	Jun. 16–19, 2016
2016	Texas Age Group Swimming Long Course Championships	Jul. 27–31, 2016
2016	2016 OH CM Pepsi Cola Spring I	May. 20–22, 2016
2016	Colgate vs. Boston University	Jan. 09, 2016
2016	YMCA LCY Nationals - TIme Trials	Jul. 27–31, 2016
2016	MT Summer LC State Champi	Jul. 29–31, 2016
2016	2016 SI CAST 11 & OVER AB MEET	Jul. 08–10, 2016
2016	Arkansas State Championsh	Jul. 29–31, 2016
2016	MR Metro Junior Olympics	Jul. 22–24, 2016
2016	2016 AAAA LC #2 Unclassified	May. 13–15, 2016
2016	2016 LD Champs	Nov. 26–27, 2016
2016	1st Cyprus International Masters Swim Meet	Oct. 22–23, 2016
2016	2016 Spring Splash Invitationa	May. 06–08, 2016
2016	2016 Alaska Senior Champs	Jan. 29–31, 2016
2016	Merlion Sprint Festival 2016	Nov. 19, 2016
2016	EFSL Championships 2016	Feb. 27–28, 2016
2016	2016 Thunderbolt June Open	Jun. 03–05, 2016
2016	Third Coast Invitational hosted by PEAK	Jan. 15–17, 2016
2016	Ohio State Invitational	Feb. 13–14, 2016
2017	17th FINA World Championships	Jul. 23–30, 2017
2017	2017 Hancock Prospecting Australian Championships	Apr. 09–13, 2017
