Year	Competition	Dates
2017	Phillips 66 Summer National Championships	Jun. 27, 2017 - Jul. 01, 2017
2017	Arena Pro Swim Series - Atlanta	May. 04–07, 2017
2017	6th FINA World Junior Championships	Aug. 23–28, 2017
2017	Swimcup Eindhoven	Apr. 06–09, 2017
2017	SA National Aquatic Championship	Apr. 03–08, 2017
2017	2017 Arena Pro Swim Series - Austin	Jan. 13–15, 2017
2017	Arena Pro Swim Series Austin	Jan. 13–15, 2017
2017	Arena Pro Swim Series - Indianapolis	Mar. 02–04, 2017
2017	2017 Arena Pro Swim Series	Mar. 02–04, 2017
2017	Arena Pro Swim Series - Santa Clara	Jun. 01–04, 2017
2017	GHF Australian Age Swimming Championships	Apr. 16–23, 2017
2017	MR Speedo Junior National Championships	Aug. 08–12, 2017
2017	Eric Namesnik Memorial Invitational	Jun. 02–04, 2017
2017	Victorian Open Championships	Jan. 20–22, 2017
2017	Arena Pro Swim Series - Mesa	Apr. 13–15, 2017
2017	2017 Canadian Swimming Championships	Aug. 04–07, 2017
2017	CA Speedo Grand Challenge	May. 26–28, 2017
2017	KZNA Premier Champs & Commonwealth Trials	Dec. 16–22, 2017
2017	Fran Crippen Swim Meet of Champions LCM	Apr. 27–30, 2017
2017	NJ SCAR AND NJ SWIMMING SENIOR STATES	Feb. 03–05, 2017
2017	NC MAC Charlotte Ultraswim	Jun. 01–04, 2017
2017	NCSA Summer Champioships	Aug. 01–05, 2017
2017	2017 Canadian Junior Championships	Jul. 26–31, 2017
2017	SE TNAQ LONG COURSE INVITATIONAL	Jun. 16–18, 2017
2017	2017 Otvoreno prvenstvo Srbije	Mar. 17–19, 2017
2017	2017 NZ Age Group Championship	Mar. 21–25, 2017
2017	XXX CCCAN Swimming Championshi	Jun. 28, 2017 - Jul. 02, 2017
2017	VI Commonwealth Youth Games	Jul. 19–22, 2017
2017	Virginia Swimming LC Senior Championships	Jul. 20–23, 2017
2017	Los Angeles Invitational	Jul. 13–16, 2017
2017	GU AGS Senior Circuit #2	Jun. 08–10, 2017
2017	Letnje prvenstvo Srbije za juniore i u apsolutnoj konkurenciji 2017	Aug. 04–06, 2017
2017	Southern Senior Sectionals Championships	Jul. 13–16, 2017
2017	New England Senior Championships	Jul. 13–16, 2017
2017	SNOW Long Course Invitational	Jun. 16–18, 2017
2017	NT DM Senior Circuit #1 LC Meet	May. 19–21, 2017
2017	Indiana Senior State Championships	Jul. 20–23, 2017
2017	USA Swimming Futures Championships (Tennessee)	Aug. 03–06, 2017
2017	USA Swimming Futures Championships (Santa Clara)	Aug. 03–06, 2017
2017	Speedo Champions Series - California-Nevada	Jul. 20–23, 2017
2017	SE Richard Quick Invitational	Jun. 23–25, 2017
2017	Southern Zone Long Course Sectional Championships	Jul. 06–09, 2017
2017	WI 13 & Over LCM State Championships	Aug. 03–06, 2017
2017	Speedo Champions Series - Columbus	Jul. 19–22, 2017
2017	Mike Peppe-John Bruce Memorial	Jun. 30, 2017 - Jul. 02, 2017
2017	Southern Zone South Sectional Championship	Jul. 06–09, 2017
2017	Sunsmart End of summer Sensati	Feb. 25–26, 2017
2017	2017 Canada Games Swimming	Aug. 07–12, 2017
2017	USA Swimming Futures Championships (Ohio)	Aug. 03–06, 2017
2017	Victoria LC Age Championships	Dec. 10–15, 2017
2017	GA Senior State Championship	Jul. 28–30, 2017
2017	Missouri Valley Swimming LCM Championships	Jul. 27–30, 2017
2017	Aquatica Summer Splash	Jul. 26–29, 2017
2017	2017 HFMF New Years Challenge	Jan. 28–29, 2017
2017	PC Far Western Long Course Championships	Jul. 26–30, 2017
2017	Long Course Far Western Championships	Jul. 26–30, 2017
2017	2017 Canadian Western Swimming Champtionships	Apr. 20–23, 2017
2017	Speedo Sectionals - Central - Indianapolis	Mar. 30, 2017 - Apr. 02, 2017
2017	Summer Superleague LC Championships	Jul. 14–16, 2017
2017	2017 LC Distance Competition	Oct. 14–15, 2017
2017	Southeastern LCM Championships	Jul. 20–23, 2017
2017	Louisiana Long Course State Championship	Jul. 13–16, 2017
2017	2017 Swim BC Senior Open	Mar. 11–12, 2017
2017	NJ BAC Memorial Day Meet	May. 27–28, 2017
2017	Arena Grand Challenge	Jul. 06–09, 2017
2017	Western Zone Senior Championships	Aug. 01–05, 2017
2017	OR Speedo Western Region Sectional Championships	Jul. 20–23, 2017
2017	NJ BAC Cerave Long Course Invitational	Jan. 13–15, 2017
2017	USA Swimming Futures Championships (Austin)	Aug. 03–06, 2017
2017	Illinois Swimming Senior Championships	Jul. 13–16, 2017
2017	GU TWST Senior Invite	Jun. 15–18, 2017
2017	Speedo Champions Series - Minneapolis	Jul. 19–22, 2017
2017	ISCA Summer Seniors Championships	Aug. 02–05, 2017
2017	Florida Swimming Senior LCM Championships	Jul. 20–23, 2017
2017	AZ Speedo Arizona Invitational	May. 26–29, 2017
2017	La Mirada Armada April Senior LC Invitational	Mar. 31, 2017 - Apr. 02, 2017
2017	Southern Zone Senior Championships	Aug. 01–05, 2017
2017	2017 Summer LC Provincial Cham	Jun. 29, 2017 - Jul. 02, 2017
2017	FGC Senior Championships	Mar. 24–26, 2017
2017	2017 Canadian Eastern Swimming Championships	Apr. 20–23, 2017
2017	Speedo Sectionals - Southern - Plantatioin	Mar. 09–12, 2017
2017	CA SCS/RMDA JUNE AGE GROUP	Jun. 15–18, 2017
2017	Long Course Texas Age Group Championship	Jul. 26–30, 2017
2017	Senior Circuit Long Course Championships	Jul. 27–30, 2017
2017	Sr. LCM Sectional Qualifer	Feb. 11, 2017
2017	British Columbia AAA Long Course Championships	Jul. 06–09, 2017
2017	PVS LC Senior Championships	Jul. 06–09, 2017
2017	Eastern Zone Age Group Championships	Aug. 09–12, 2017
2017	MN NSAC Heat of the Summe	Jul. 07–09, 2017
2017	FL CAT Al Soltis Memorial Meet	Jan. 14–16, 2017
2017	Senior Metropolitan Championships	Jul. 20–23, 2017
2017	Eric Namesnik Memorial Swim Meet	Jul. 07–09, 2017
2017	SCS Summer Junior Olympics	Jul. 26–30, 2017
2017	Arizona Long Course Senior State Championships	Jul. 27–30, 2017
2017	Niagara Long Course Championships	Jul. 20–23, 2017
2017	CA GWSC day after CIF	May. 14, 2017
2017	PNS Senior LC Championships	Jul. 20–22, 2017
2017	OH CM TYR Sport Summer Classic	Jun. 22–25, 2017
2017	WI LAKE Western Great Lakes Open	Nov. 17–19, 2017
2017	CO CAC CSI LC Open	Jun. 16–18, 2017
2017	Lake Erie Senior LC Champs	Jul. 28–30, 2017
2017	MD NAAC Carol Chidester Elite LCM Meet	Apr. 21–23, 2017
2017	FL SYS Memorial Meet	May. 12–14, 2017
2017	Southern Zone Age Group Championships	Aug. 01–05, 2017
2017	North American Challenge Cup	Aug. 04–06, 2017
2017	Eastern Zone Senior Championships	Aug. 03–06, 2017
2017	Middle Atlantic Senior LC Championship	Jul. 12–15, 2017
2017	RZW: Regionale Meisterschaften	Jun. 23–25, 2017
2017	WDSC Long Course Premier Meet	Mar. 10–12, 2017
2017	XXXII Carifta Swimming Champio	Apr. 15–18, 2017
2017	Gulliver Senior Invitational	Jan. 14–15, 2017
2017	CO CSI Senior LC State Championships	Jul. 21–23, 2017
2017	LC Open	Jun. 29, 2017 - Jul. 02, 2017
2017	Kentucky 13 & Over LCM State Championships	Jul. 27–30, 2017
2017	Swiss Championships	Jun. 30, 2017 - Jul. 02, 2017
2017	Utah LC Championships	Jul. 26–29, 2017
2017	FG GRSC Summer Invite	May. 19–21, 2017
2017	FG SFTL International Classic	Jun. 23–25, 2017
2017	MD NBAC Long Course Championship	Jun. 09–12, 2017
2017	South Carolina LCM State Championships	Jul. 20–23, 2017
2017	Sandbox Invitational	Jul. 06–09, 2017
2017	LC Gulf Senior Champs	Jul. 14–16, 2017
2017	Florida Age Group Championships	Jul. 13–16, 2017
2017	AZ Long Course Age Group State Championships	Jul. 13–16, 2017
2017	Calvin Summer Classic	Jul. 06–08, 2017
2017	Montana Long Course State Championships	Jul. 28–30, 2017
2017	Central Zone Age Group Championships	Aug. 03–06, 2017
2017	Diplomat May Maelstorm	May. 05–07, 2017
2017	Speedo Champions Series - Lincoln, NE	Jul. 19–22, 2017
2017	MN FOXJ Long Course Championship	Jul. 26–30, 2017
2017	SPA'S SEMINOLE SUNRISE LANES I	Jun. 30, 2017 - Jul. 02, 2017
2017	Prairie Winter International 2	Mar. 02–05, 2017
2017	2017 Otago Canterbury Champion	Jan. 18–21, 2017
2017	2017 London Swimming Regional Championships	Apr. 29, 2017 - May. 01, 2017
2017	ST AAAA Northside George Block Invitational	Jun. 23–25, 2017
2017	Speedo Sectionals - Eastern - Buffalo	Mar. 30, 2017 - Apr. 02, 2017
2017	Southern California Swimming June Age Group Invitational	Jun. 15–18, 2017
2017	NC LC AG Championships	Jul. 13–16, 2017
2017	AZ Phoenix Summer Invitational	Jun. 09–12, 2017
2017	PNSC Easter Meet 2017	Apr. 13–16, 2017
2017	CA GWSC/SCS Senior Region	Aug. 04–07, 2017
2017	NJ EEX Jeffrey S Mace Memorial Summer	Jun. 30, 2017 - Jul. 02, 2017
2017	OH MAKO LC Junior Olympic	Jul. 20–23, 2017
2017	MD LSC LC Championship Meet	Aug. 03–06, 2017
2017	MI 13/14 & Open LCM State Meet	Jul. 27–30, 2017
2017	Georgia Age Group LCM State Championship	Jul. 20–23, 2017
2017	Golden West Senior Meet	Feb. 18–19, 2017
2017	CA SCS Summer JO at Santa Clarita	Jul. 26–30, 2017
2017	LE Jerry Holtrey Summer Invite	Jun. 15–18, 2017
2017	Cactus Classic	May. 26–29, 2017
2017	SI LC Junior Olympics	Jul. 27–30, 2017
2017	CA SCS Summer JO at Riverside	Jul. 26–30, 2017
2017	MN AQJT Aquajets Summer I	Jun. 29, 2017 - Jul. 02, 2017
2017	NE HARV 11-14 AG CHAMPIONSHIPS	Jul. 20–23, 2017
2017	PEAK LC May Open Meet	May. 19–21, 2017
2017	WDSC Long Course "No Frills" Invitation Meet	Feb. 18–19, 2017
2017	OSI 11 & Over Championships	Jul. 27–30, 2017
2017	HI Age Group LCM Champion	Jul. 13–16, 2017
2017	MSI Long Course State Cha	Jul. 20–23, 2017
2017	Missoula Firecracker	Jun. 22–25, 2017
2017	Wilton Wahoos Summer Invitational	Jun. 01–04, 2017
2017	CO JH Summer Invite	Jun. 02–03, 2017
2017	Mid-Summer Dash	Jul. 14–16, 2017
2017	Frost Bank Invitational	Jun. 08–11, 2017
2017	MD NBAC Mid Summer Classic	Jul. 06–09, 2017
2017	FGC Junior Olympics Long Course	Jul. 21–23, 2017
2017	ST TXLA Texas Open	Jun. 23–25, 2017
2017	NC HPSC Tar Heel State	Jul. 27–29, 2017
2017	CA Buena/SCS - June Age Group Champs	Jun. 15–18, 2017
2017	GU FCST Summer Splash	Jun. 23–25, 2017
2017	MD NBAC Spring LC Invitation	May. 19–21, 2017
2017	Reykjavik International Games	Jan. 27–29, 2017
2017	ST TXLA Longhorn Aquatics 11 & Over	May. 19–21, 2017
2017	Falfin Long Course Invitational	Jun. 23–25, 2017
2017	OH Swimming LC Senior Championships (Tim Meyers)	Jul. 27–30, 2017
2017	MI Club Wolverine Summerf	Jun. 23–25, 2017
2017	FL BSS TYR Summer Classic	Jun. 22–25, 2017
2017	MT BOZ May Classic	May. 19–21, 2017
2017	PC PLS Long Course Senior Open	Jun. 03–04, 2017
2017	Campeonatos de Inverno de Lisboa	Mar. 10–12, 2017
2017	2017 Eastern Ontario LC Region	Jun. 02–04, 2017
2017	PVS LC Age Group Championships	Jul. 20–23, 2017
2017	AZ DTAC June ABC Meet	Jun. 17–18, 2017
2017	MI OLY Summer Classic	Jun. 16–18, 2017
2017	Dr. Ralph Hicken Swim Internat	May. 18–21, 2017
2017	89th Ohio valley championship	Jun. 08–10, 2017
2017	South Texas Age Group (STAGS) LC Championship	Jul. 13–16, 2017
2017	ST AAAA Alamo FiestAAAA	Apr. 21–23, 2017
2017	MR LIE June Jamboree	Jun. 16–18, 2017
2017	AAU Junior Olympics	Jul. 27–30, 2017
2017	Robert F. Busbey Invitational	May. 19–21, 2017
2017	Adirondack Long Course Championships	Jul. 28–30, 2017
2017	NJ HACY LC Silver/Bronze Championships	Jul. 14–16, 2017
2017	35. Internationales Hi-Point Meeting	Mar. 11–12, 2017
2017	Phillips 66 National Championship Time Trials	Jun. 27, 2017 - Jul. 01, 2017
2017	2017 Zonal Championships	Feb. 11, 2017
2017	Denver LCM Pentathlon	Mar. 06, 2017
2017	SE GPAC Tom Lalor Invitatational	Jun. 02–04, 2017
2017	Victorian Sprint Championships	Feb. 11–12, 2017
2017	New Zealand Secondary School Champs	Sep. 15–17, 2017
2017	CA ROSE Everything Coming Up Roses	Apr. 21–23, 2017
2017	MN MFLY Friday Night Flig	Jun. 09, 2017
2017	FAST FEBRUARY LC CLOSED INVITATIONAL	Feb. 11, 2017
2017	Hamilton Aquatics Winter Long	Dec. 08–09, 2017
2017	GO Kingfish Gee-Gees Invite 20	Feb. 25–26, 2017
2017	MN HOP Spring Opener	May. 20–21, 2017
2017	New South Swimming Invitational	May. 12–14, 2017
2017	MLC Aquatic State Race Practic	Oct. 21, 2017
2017	AZ Phoenix Spring Invitational	Apr. 21–23, 2017
2017	Oahu grand prix	Jul. 26–30, 2017
2017	GA SCAT Sizzlin Summer Invitational	Jun. 16–18, 2017
2017	MR Long Course Junior Olympics	Jul. 28–30, 2017
2017	LC FISH Derby	May. 06–07, 2017
2017	2017 Ontario Launch into Long	Jan. 06–08, 2017
2017	NT LAC Bil Nixon	Jun. 15–18, 2017
2017	Welcome to Long Course 2017	Mar. 31, 2017 - Apr. 02, 2017
2017	IA CRAA Long Course Kick Off	Jun. 02–04, 2017
2017	2017 Maine International Championship	Jul. 13–15, 2017
2017	GU Long Course Age Group Championships	Jul. 07–09, 2017
2017	Merlion Sprint Festival 2017	Oct. 07, 2017
2017	NC WAVE Sprint Into Spri	Apr. 29–30, 2017
2017	GO Kingfish Polar Plunge 2017	Jan. 21–22, 2017
2017	2017 Nunawading Long Course Me	Nov. 11, 2017
2017	GA Kevin Bacon Invite	Jul. 07–09, 2017
2017	2017 Festival of Spring	May. 12–14, 2017
2017	NC NCAC Tarheel States Long Course Invitational	Jul. 28–30, 2017
2017	IL YMCA LC State Championship	Jul. 22–23, 2017
2017	OH AP BASH PCY Summer Classic	Jun. 09–11, 2017
2017	Swim BC AA Championship	Jun. 16–18, 2017
2017	Cannonball Classic	Jun. 10–11, 2017
2017	PN VAST Summer Sprints	Jun. 04, 2017
2017	Distance-Sprint Meet	May. 20–21, 2017
2017	39th Annual Seahawk Invitation	Jul. 06–08, 2017
2017	Aggieland April Open	Apr. 21–23, 2017
2017	OH OSSC Spring into Summer Splash	Jun. 02–04, 2017
2017	Meet on the hill	May. 19–21, 2017
2017	MD NCAP Invite	Jun. 02–04, 2017
2017	FG POMP Jesse Vassallo Invite	May. 19–21, 2017
2017	Sarasota Sharks Open	Jun. 22–25, 2017
2017	IL AGE GROUP LC CHAMPIONSHIPS	Jul. 27–30, 2017
2017	Speedo Sectional Time Trials	Mar. 30, 2017 - Apr. 02, 2017
2017	June Gulf Open Meet	Jun. 23–25, 2017
2017	WI PX3 July Invite	Jul. 07–09, 2017
2017	TWST Senior Open Meet	May. 20–21, 2017
2017	OZ CSP 79th summer invitational	Jun. 23–25, 2017
2017	USA Swimming Futures Championships (Santa Clara) - Time Trials	Aug. 03–06, 2017
2017	Arizona Long Course Open	Jun. 23–25, 2017
2017	Arena Pro Time Trials - Mesa	Apr. 13–15, 2017
2017	Swim England Winter Champs	Dec. 16, 2017
2017	FG CSSC Open Invite	Feb. 11–12, 2017
2017	MI USSC June Splash Bash	Jun. 09–11, 2017
2017	MI SMAC July "Last Chance	Jul. 15–16, 2017
2017	Winter Haven Stingrays Rowdy Cup	Apr. 21–23, 2017
2017	AZ Beat the Heat Classic	Jun. 02–04, 2017
2017	FL TCA H2O Zone Summer Long Course	Jun. 09–11, 2017
2017	La Mirada Armada LC Metro Champs	Jul. 14–16, 2017
2017	MT HLST Last Chance Invit	Jul. 07–09, 2017
2017	U.S. Open Time Trials	Aug. 02–06, 2017
2017	CA RMDA La Mirada Senior meet	Jan. 14–15, 2017
2017	HI Senior Meet	May. 13, 2017
2017	PV LC Open 1 (PAC)	Jun. 11, 2017
2017	NJ PTAC Tiger Challenge	May. 19–21, 2017
2017	OH CM Pepsi Cola Spring I	May. 19–21, 2017
2017	Spring Long Course Classic	May. 05–07, 2017
2017	PV OCCS Speedo Spring Splash LC	May. 05–07, 2017
2017	Fairfax Outdoor Swim Meet	Jun. 24–25, 2017
2017	MI JAWS Long Course Challenge	Dec. 30, 2017
2017	West Pomeranian Grand Prix (Poland)	Jun. 22, 2017
2017	Pacific Swim A/B All Ages LC Meet	Apr. 21–23, 2017
2017	Friday Night Flight(May)	May. 05, 2017
2017	Kingsport Piranhas 2017 Long Course Finale	Jul. 08–09, 2017
2017	AZ May Dayz Beach Party Meet	May. 06–07, 2017
2017	Arena Pro Swim Series - Atlanta Time Trials	May. 04–07, 2017
2017	CO TOPS Zone 2 District M	Jul. 07–09, 2017
2017	MN Wolf LC All About That Race	Jun. 02–04, 2017
2017	Arena Pro Swim Series - Austin Time Trials	Jan. 13–15, 2017
2017	NC NCAC Quad Meet	May. 06–07, 2017
2017	CO TOPS TYR Catch Me Open	Apr. 21–23, 2017
2017	GU FCST Gulf Open Meet	Apr. 21–23, 2017
2017	IN BA SRS LCM TIME TRIA	Jul. 22, 2017
2017	Coast Aquatics Surf & Swim Classic	Jun. 03–04, 2017
2017	Lake Erie LC Age Group Championships	Jul. 21–23, 2017
2017	NJ BAC Summer Champs	Jul. 21–23, 2017
2017	SI CSA AB All Ages Meet	Dec. 01–03, 2017
2017	Gulf Summer Champs - peak	Jul. 14–16, 2017
2017	ST NTRO Nitro Distance Me	Jun. 03, 2017
2017	VA Summer Awards	Jul. 14–16, 2017
2017	Lakewood Invite LCM, BRW	Apr. 22–23, 2017
2017	Minnesota Regional Championships	Jul. 21–23, 2017
2017	MI JAWS First Chance Invi	May. 27, 2017
2018	2018 IE VS Starlight Open	Jul. 06–08, 2018
2018	Russian National Championships	Apr. 20–25, 2018
2018	FINA Swimming World Cup - Kazan	Sep. 07–09, 2018
2018	Phillips 66 Summer National Championships	Jul. 25–29, 2018
2018	26th Uster International Swim Meet	Feb. 03–04, 2018
2018	TYR Pro Swim Series at Columbus	Jul. 05–08, 2018
2018	GA SCAT Atlanta Classic Swim Meet	May. 18–20, 2018
2018	FINA Swimming World Cup - Doha	Sep. 13–15, 2018
2018	TYR Pro Swim Series - Atlanta	Mar. 01–04, 2018
2018	USA Swimming Winter National Championships	Nov. 28, 2018 - Dec. 01, 2018
2018	Swim Cup The Hague	Apr. 06–08, 2018
2018	TYR Pro Swim Series - Indianapolis	May. 16–19, 2018
2018	Speedo Grand Challenge	May. 25–27, 2018
2018	CA MVN Fran Crippen Memorial Swim Meet of Champions	Jun. 21–24, 2018
2018	TYR Pro Swim Series - Austin	Jan. 11–14, 2018
2018	TYR Pro Swim Series at Mesa	Apr. 12–15, 2018
2018	Canadian Swimming Trials	Jul. 18–22, 2018
2018	130. Internationale Deutsche Meisterschaften 2018	Jul. 19–22, 2018
2018	Mel Zajac Jr. Internation	Jun. 01–03, 2018
2018	The Cup of Moscow	Jul. 11–13, 2018
2018	XXIII Juegos CAC-Barranquilla	Jul. 20–25, 2018
2018	Southern Zone South Sectional	Mar. 08–11, 2018
2018	LEN European Junior Championships	Jul. 04–08, 2018
2018	Edinburgh International Swim Meet	Mar. 01–04, 2018
2018	CA TROJ Los Angeles Invitational	Jul. 12–15, 2018
2018	TYR Pro Swim Series at Santa Clara	Jun. 07–10, 2018
2018	SE TNAQ Long Course Invitational	Jun. 15–17, 2018
2018	14th Neo Garden Singapore National Swim Championships	Jun. 20–22, 2018
2018	Victorian Open Championships	Jan. 12–14, 2018
2018	Speedo Champions Series - Mount Hood	Jul. 12–15, 2018
2018	Swim BC Senior Open	Mar. 16–18, 2018
2018	Canadian Swimming Championships	Apr. 05–08, 2018
2018	AON NZ Open Championships	Jul. 02–06, 2018
2018	Speedo Junior National Championships	Jul. 31, 2018 - Aug. 04, 2018
2018	Первенство России среди юниоров / Russian Junior Championships	May. 07–11, 2018
2018	North Carolina Swimming Long Course Senior Championships	Jul. 19–22, 2018
2018	Scottish National Open Championships	Jun. 28, 2018 - Jul. 01, 2018
2018	YMCA Long Course National Championships	Jul. 30, 2018 - Aug. 03, 2018
2018	GA ABSC Bulldog Grand Slam	Jul. 06–08, 2018
2018	NC MAC Charlotte Ultraswim	Jun. 14–17, 2018
2018	Speedo Champions Series - Spire	Jul. 19–22, 2018
2018	SE AU Richard Quick Invitational	Jun. 22–24, 2018
2018	SE NAC BridgeAthletic Summer Sizzler	Jun. 21–23, 2018
2018	SE KP Kingsport Piranhas Long Course Finale	Jul. 07–08, 2018
2018	Virginia Swimming Senior Long Course Championships	Jul. 19–22, 2018
2018	Speedo Champions Series - Santa Clarita	Jul. 19–22, 2018
2018	SE TNAQ Tennessee Invitational	Dec. 02, 2018
2018	Speedo Champions Series - Iowa City	Jul. 19–22, 2018
2018	XXXI CCCAN Swimming Championships	Jun. 29, 2018 - Jul. 03, 2018
2018	Speedo Junior Nationals Time Trials	Jul. 31, 2018 - Aug. 04, 2018
2018	AA-AAA Invitation Pointe-Claire Invitational	Dec. 06–09, 2018
2018	Swiss Championships	Apr. 05–08, 2018
2018	PC WCAB LCM SRII T&F	Jul. 13–15, 2018
2018	South African National Aquatic Championship	Apr. 23–28, 2018
2018	Pacific Northwest Swimming Senior Long Course Championships	Jul. 26–28, 2018
2018	Indiana Senior State Long Course Championships	Jul. 19–22, 2018
2018	Singapore National Age Group Swimming Championships	Mar. 14–18, 2018
2018	GU KATY Senior Invite	May. 19–20, 2018
2018	KY CARD Derby Pro Invite	Apr. 28–29, 2018
2018	GU AGS Texas Senior Circuit Long Course	Jun. 21–23, 2018
2018	Speedo Champions Series - Gainesville	Jul. 06–09, 2018
2018	KY CARD Cardinal Aquatics Summer	May. 11–13, 2018
2018	Swim Canada Junior Championships	Jul. 25–30, 2018
2018	Belograd April Grand Prix	Apr. 13–15, 2018
2018	Speedo Champions Series - Austin	Jul. 12–15, 2018
2018	Potomac Valley Senior Championships	Jul. 12–15, 2018
2018	USA Swimming Futures Championships (Santa Clara)	Aug. 02–05, 2018
2018	Irish Summer National Championships	Jul. 25–29, 2018
2018	New Zealand Age Group Championships	Apr. 17–21, 2018
2018	2018 DOP	Mar. 16–18, 2018
2018	WI LAKE Western Great Lakes Open	Jul. 06–08, 2018
2018	USA Swimming Futures Championship (Richmond)	Aug. 02–05, 2018
2018	Arizona Long Course Senior Open Championships	Jul. 26–29, 2018
2018	2018 OH OSSC Spring into Summe	Jun. 01–03, 2018
2018	Speedo Champions Series - North - Buffalo	Mar. 22–25, 2018
2018	Speedo Champions Series - Jenks	Jul. 11–14, 2018
2018	Georgia Senior State Long Course Championships	Jul. 27–30, 2018
2018	CARIFTA Swimming Championships	Mar. 31, 2018 - Apr. 03, 2018
2018	Montenegro Open	Jul. 07–08, 2018
2018	PN KING Fifth Annual Mark Prothero LC Open	Jul. 12–15, 2018
2018	NC ATOM April LC Friday Night Charlotte	Apr. 20, 2018
2018	Otvoreno Srbije (Serbian Open)	Mar. 09–11, 2018
2018	Ontario Spring Provincial	Mar. 01–04, 2018
2018	Connecticut Swimming Senior Long Course Championships	Jul. 12–15, 2018
2018	NCSA Summer Swimming Championship	Jul. 31, 2018 - Aug. 04, 2018
2018	AM TPIT Junior Olympic	Jul. 19–22, 2018
2018	USA Swimming Futures Championships (Cary)	Aug. 02–05, 2018
2018	Western Canadian Championships	Apr. 12–15, 2018
2018	OZ CSC Summer Invite	Jun. 15–17, 2018
2018	ST AAAA Northside George Block Invitational	Jun. 21–24, 2018
2018	VA NOVA Winter LC Invite	Jan. 13–15, 2018
2018	AUSC REGION 5 GAMES	Dec. 08–11, 2018
2018	Speedo Eastern Canadian Championships	Apr. 12–15, 2018
2018	South Africa National JNR Age Group Championship	Mar. 21–25, 2018
2018	Hawaiian Swimming Senior Long Course Championships	Jun. 15–17, 2018
2018	Meeting National de Mulhouse	Nov. 24–25, 2018
2018	KY LAK 90th Ohio valley Championship	Jun. 07–09, 2018
2018	Florida Gold Coast Senior Long Course Championships	Jul. 27–29, 2018
2018	MN MFLY Quad Meet June 9	Jun. 09, 2018
2018	NT MARS Bill Nixon Memori	Jun. 14–17, 2018
2018	MI CW Eric Namesnik Memorial Invitational	Jun. 01–03, 2018
2018	Bahamas National Championships	Jun. 16–19, 2018
