Year	Competition	Dates
2018	Connecticut Age Group Championships	Jul. 20–22, 2018
2018	SI CSA TYR Splash & Dash Meet	Jun. 15–18, 2018
2018	PV SNOW LC Invitational	Jun. 15–18, 2018
2018	Colorado Swimming Senior Long Course Championships	Jul. 20–22, 2018
2018	UANA Swimming Cup	Jan. 19–21, 2018
2018	American Long Course Championships	Jul. 25–28, 2018
2018	Minnesota Swimming Senior Long Course Championships	Jul. 25–29, 2018
2018	ST TXLA 11&Over Long Course Kick Off	Apr. 20–22, 2018
2018	Christmas Cup	Dec. 15–16, 2018
2018	NJ HACY Summer Solstice	Jun. 09–10, 2018
2018	NJ EEX Jeffrey S Mace Memorial Summer	Jun. 29, 2018 - Jul. 01, 2018
2018	ST TXLA Longhorn Aquatics 11 & Over	May. 18–20, 2018
2018	Wisconsin Swimming 13 & Over Long Course State Championship	Aug. 02–05, 2018
2018	Nunawading Long Course Meet	Nov. 25, 2018
2018	Middle Atlantic Senior Long Course Championship	Jul. 11–14, 2018
2018	HI Senior Meet	May. 12, 2018
2018	Southern California Swimming June Age Group Invitational	Jun. 14–17, 2018
2018	Southeastern Long Course Championship	Jul. 19–22, 2018
2018	National Open Championships	Jun. 28, 2018 - Jul. 01, 2018
2018	IA L4A Swim Pink A+ Invitational	Jun. 22–24, 2018
2018	Challenge Escalad'Eau	Dec. 15–16, 2018
2018	OH CM Pepsi Cola Spring Invite	May. 18–20, 2018
2018	FG NPB Summer Kickoff	Jun. 02–03, 2018
2018	Oklahoma Swimming State Long Course Championship	Jul. 20–22, 2018
2018	Illinois Swimming Senior Long Course Championships	Jul. 12–15, 2018
2018	CA MVN Summer JO's	Aug. 02–05, 2018
2018	AM TPIT Eric Namesnik Memorial Sw	Jul. 06–08, 2018
2018	Georgia Open	Jul. 06–08, 2018
2018	ISCA Summer Senior Championship	Jul. 31, 2018 - Aug. 04, 2018
2018	FL YCF Summer Solstice Invitational	Jun. 15–17, 2018
2018	ISCA TYR Summer Senior Championship	Jul. 31, 2018 - Aug. 04, 2018
2018	Metropolitan Senior Championships LCM	Jul. 19–22, 2018
2018	NC GSA Eastern Invitational	Jun. 21–24, 2018
2018	AZ MAC Speedo Invitational	May. 25–28, 2018
2018	OH SYOSL League Championships	Jul. 12–15, 2018
2018	NT DM Senior Circuit #1 L	Jun. 01–03, 2018
2018	SN CCA Summer Sanders Long Co	Jun. 07–10, 2018
2018	Olimpiada Nacional Curso Largo	May. 31, 2018 - Jun. 04, 2018
2018	Utah Swimming Long Course Championships	Jul. 25–28, 2018
2018	SE XCEL Excel Invite	May. 18–20, 2018
2018	Southern Zone Senior Championships	Jul. 31, 2018 - Aug. 04, 2018
2018	Race Days	Mar. 03–04, 2018
2018	42nd SEA AGE GROUP Swimming Championship	Jul. 06–08, 2018
2018	Iowa Swimming Long Course Championships	Jul. 28, 2018
2018	Western Zone Senior Championships	Jul. 31, 2018 - Aug. 04, 2018
2018	NTS Championships	Dec. 07–11, 2018
2018	NC NCAC Meet on the Hill	May. 18–20, 2018
2018	AZ PSC Phoenix Summer Invitational	Jun. 08–11, 2018
2018	Patana Feeding Frenzy	Dec. 07–09, 2018
2018	NJ BAC Memorial Day Meet	May. 26–27, 2018
2018	CO CAC CSI Long Course Open	Jun. 15–17, 2018
2018	Eastern Senior Zone Championship	Aug. 02–05, 2018
2018	Florida International Swimming Championships	Aug. 01–04, 2018
2018	MD RAC Sandbox Invitational	Jul. 05–08, 2018
2018	Florida Swimming Senior Long Course Championships	Jul. 19–22, 2018
2018	Kentucky 13 & Over State Long Course Championship	Jul. 12–15, 2018
2018	OPTUS Victorian Age Championships	Dec. 07–11, 2018
2018	Gulf Senior Champs	Nov. 29, 2018 - Dec. 02, 2018
2018	NT LAC Fall Classic	Nov. 02–04, 2018
2018	Black Sea Cup	Jun. 01–03, 2018
2018	SE GPAC Tom Lalor Invitat	Jun. 01–03, 2018
2018	USA Swimming Futures Championships (Rochester)	Aug. 02–05, 2018
2018	PC OAPB Far Western LCM Championships	Jul. 26–29, 2018
2018	CA TIGR Aquatics Memorial Day AGO	May. 25–27, 2018
2018	MN STRM Storm Spring Invi	May. 12–13, 2018
2018	Oregon Swimming 11 & Over Championships	Jul. 26–29, 2018
2018	2018 DLOP Starsha	Jul. 27–29, 2018
2018	GU CFSC Gulf May Open	May. 18–20, 2018
2018	AZ SAC Cactus Classic	May. 31, 2018 - Jun. 03, 2018
2018	FG FLA International Cup	Jun. 21–24, 2018
2018	CA RMDA Armada April Senior Meet	Apr. 20–22, 2018
2018	LE LESD Jerry Holtrey Summer Invitational	Jun. 14–17, 2018
2018	Aquabear Invitational Meet	Oct. 04–07, 2018
2018	Montana Summer Long Course Championships	Jul. 13–15, 2018
2018	26.Medjunarodni plivacki miting " Memorijal Ante Lambas"	Mar. 03–04, 2018
2018	FL DBS Summer Invitational	Jun. 08–10, 2018
2018	LE TT Speedo Sectional Time Trials	Jul. 19–22, 2018
2018	Mako Aquatics Club & ALIV Fall	Oct. 26–27, 2018
2018	VA PSDN Long Course Spring Luau	Jun. 16–18, 2018
2018	Metropolitan Swimming Long Course Junior Olympics	Jul. 27–29, 2018
2018	RZW: Regionale Meisterschaften	Jun. 29, 2018 - Jul. 01, 2018
2018	Michigan Swimming 13-14 & Open Long Course State Championship	Jul. 26–29, 2018
2018	CA MVN Day after CIF Meet	May. 13, 2018
2018	NTS Prestige Gala	Oct. 26–28, 2018
2018	LE GLSS Robert F. Busbey Invitational	May. 18–20, 2018
2018	PV NCAP June LC Meet	Jun. 01–03, 2018
2018	CA RAA Summer Junior Olympics	Jul. 25–29, 2018
2018	MR LIAC Speedo Long Island Challenge	Apr. 27–29, 2018
2018	MI EGRA Calvin Summer Classic	Jul. 05–07, 2018
2018	CA MVN Bill Rose Classic LCM Championship	Jul. 19–22, 2018
2018	CA BUEN SCS June Age Group Champs	Jun. 14–17, 2018
2018	FG SFTL International Classic	Jun. 22–24, 2018
2018	North Carolina Long Course Age Group Championships	Jul. 12–15, 2018
2018	CA GWSC Senior Regional Championships[s	Aug. 03–06, 2018
2018	NJ BAC Cerave Long Course Invitational	Jan. 12–14, 2018
2018	OR THSC Spring Invitational	May. 04–06, 2018
2018	OZ EDWY John Traube Memorial Invitational	May. 18–20, 2018
2018	Officially Summer Invitationa	May. 19–20, 2018
2018	Louisiana 13 & Over Long Course State Championship	Jul. 19–22, 2018
2018	VA HOKI May Invitational	May. 18–20, 2018
2018	FG CSSC Coral Springs Invitational	May. 05–06, 2018
2018	CT GRYM June Invitational	Jun. 22–24, 2018
2018	Swiss Junior and Youth Championships	Jul. 18–22, 2018
2018	PSW Winter Invitational	Feb. 17–18, 2018
2018	Summer SuperLeague LC	Jul. 13–15, 2018
2018	CC TNT Spring LC ABC Age Group	Apr. 28–29, 2018
2018	OR BEND Sun Country Invitational	Jun. 22–24, 2018
2018	OZ CFAC LC Kickoff	Apr. 20–22, 2018
2018	GU AGS Aggieland April Long Cour	Apr. 20–22, 2018
2018	South Carolina Swimming Long Course State Championship	Jul. 19–22, 2018
2018	VA CGBD Summer Madness LC Invitation	Jun. 22–24, 2018
2018	MD NBAC Long Course Championship	Jun. 08–11, 2018
2018	NT LAC Division 1 BB and	May. 04–06, 2018
2018	NTS September 2018 Age Group Gala Level 3+	Sep. 28–29, 2018
2018	OH PHST LC Senior Meet	Jul. 12–15, 2018
2018	FG POMP Jesse Vassallo Invitational	May. 18–20, 2018
2018	Hawaiian Swimming Age Group Long Course State Championships	Jul. 12–15, 2018
2018	OR CAT Comfort Suites Open	May. 18–20, 2018
2018	2018 SV National Preparation M	Mar. 18, 2018
2018	European Championships	Aug. 03–09, 2018
2018	TYR Pro Swim Series - Atlanta Time Trials	Mar. 01–03, 2018
2018	HI 70th ANNUAL KEO NAKAMA	Jun. 29, 2018 - Jul. 01, 2018
2018	ST AAAA Sr Circuit LCM Ch	Jul. 26–29, 2018
2018	FL CAT Al Soltis Memorial Meet	Jan. 13–15, 2018
2018	SE MCC Chattanooga UltraSwim Open	Jun. 02–03, 2018
2018	OR MHA Howard Jones Memorial Senior Meet	Jun. 22–24, 2018
2018	Selectivo Sudamericano Juvenil	Dec. 15–18, 2018
2018	MN Wolf LC All About That Race	Jun. 01–03, 2018
2018	FL SYS Sarasota Sharks Open	Jun. 21–24, 2018
2018	Florida Age Group Championships (FLAGS)	Jul. 12–15, 2018
2018	Tigersharks Trick Or Treat Invitational	Nov. 04, 2018
2018	Eastern Ontario LC Region	Jun. 01–03, 2018
2018	FL 813 Invitational Swim Meet	May. 19–20, 2018
2018	2018 Spartak	May. 11–13, 2018
2018	South Dakota Swimming Long Course Championships	Jul. 27–29, 2018
2018	MD NAAC Carol Chidester Elite LCM Meet	Apr. 20–22, 2018
2018	MT MAC Firecracker	Jun. 21–24, 2018
2018	NJ SCAR Scarlet Heat Madness	Jun. 02, 2018
2018	CA RMDA La Mirada June Invite	Jun. 14–17, 2018
2018	Potomac Valley Maryland State LC Meet	Jun. 01–03, 2018
2018	GU SPA Gulf May LC Meet	May. 18–20, 2018
2018	Florida Gold Coast Junior Olympics Long	Jul. 19–22, 2018
2018	MD NBAC Spring LC Invitation	May. 18–20, 2018
2018	Southern Zones Age Group Championship	Jul. 31, 2018 - Aug. 04, 2018
2018	IA CRAA Long Course Kick Off	Jun. 01–03, 2018
2018	Fairfield XLR8 Meet	Nov. 24, 2018
2018	UT CHAT Cottonwood Heights Invitational	Jun. 20–23, 2018
2018	VA BASS Jim Fry Memorial Invitational May	May. 05–06, 2018
2018	San Diego-Imperial Long Course Junior Olympic Championships	Jul. 26–29, 2018
2018	Neptune Queens Birthday Meet	Jun. 02–04, 2018
2018	New Jersey Swimming Long Course Junior Olympics	Jul. 26–29, 2018
2018	Ohio Swimming Junior Olympics	Jul. 19–22, 2018
2018	CA SMSC Summer JO's	Jul. 25–29, 2018
2018	MD RAC Abby Seeger Memorial Meet	May. 11–13, 2018
2018	FL CAT Escape the Heat	Jun. 08–10, 2018
2018	Niagara Swimming Long Course Championships	Jul. 19–22, 2018
2018	All-American Memorial Day Clas	May. 18–20, 2018
2018	1st International Teuta Cup	Jun. 08–10, 2018
2018	ST TXLA Long Course TAGS	Jul. 25–29, 2018
2018	GU TWST Gulf Open Meet	Apr. 20–22, 2018
2018	Middle Atlantic Junior Olympic Long Course Championships	Jul. 19–22, 2018
2018	MR LIAC Spring Kick-off Invitational	May. 12–13, 2018
2018	KAJ Snowfest	Jan. 19–21, 2018
2018	SC SAND Cinco de Mayo Invite	May. 04–06, 2018
2018	Eastern Zone Age Group Championships	Aug. 08–11, 2018
2018	FL SYS Memorial Meet	May. 18–20, 2018
2018	NC NCAC Tarheel States Long Course Invitational	Jul. 27–29, 2018
2018	Maryland Swimming Long Course Championships	Aug. 02–05, 2018
2018	Central Zone Championship (Geneva)	Aug. 02–05, 2018
2018	Indiana Age Group Long Course Championships	Jul. 27–29, 2018
2018	New England Senior Championships	Dec. 13–16, 2018
2018	NJ PTAC Tiger Challenge	May. 18–20, 2018
2018	May LC Invitational	May. 18–20, 2018
2018	ST TXLA Texas Open	Jun. 22–24, 2018
2018	FL PA Long Course Invite	May. 18–20, 2018
2018	NJ PAC Meet of Xcellence	Jun. 16–17, 2018
2018	FL WFLA Spring Open	May. 04–06, 2018
2018	KY KYA Derby Classic Invitat	May. 18–20, 2018
2018	Illinois Swimming Age Group Long Course Championships	Jul. 26–29, 2018
2018	IA David Armbruster Open	May. 18–20, 2018
2018	PC WEST Pacific Swimming LC Senior Open	Apr. 14–15, 2018
2018	Connecticut Swimming Age Group Long Course Championships	Jul. 26–29, 2018
2018	MR LIE May Extravaganza	May. 18–20, 2018
2018	FG MACM Long Course Invitational	Apr. 27–29, 2018
2018	MI PCC cruisin into summer	May. 18–20, 2018
2018	PV MACH Long Course Classic	Apr. 20–22, 2018
2018	SE MTS Dick Fadgen Invitational	Jun. 01–03, 2018
2018	FL BSS May Meet	May. 04–06, 2018
2018	NT MAC North Texas Senior Meet	May. 18–20, 2018
2018	MW LSS Capital City Class	Jun. 21–24, 2018
2018	NI STAR Late June LC Meet	Jun. 22–24, 2018
2018	South Texas Age Group Championships (STAGS) - Long Course	Jul. 12–15, 2018
2018	MR COND Summer Solstice Invitational	Jun. 01–03, 2018
2018	PC OAPB Adam Szmidt Memorial 14&U	Jul. 06–08, 2018
2018	FL IRSC Dr. Aspi Doctor Memorial Invite	May. 25–27, 2018
2018	2018 SEOWV Summer Championship	Jul. 14–15, 2018
2018	Bank of Tennessee Model City Invitational	Jun. 08–10, 2018
2018	NC TAC vs YOTA Dual Meet	May. 18–20, 2018
2018	GO Kingfish Polar Plunge	Jan. 20–21, 2018
2018	Arizona Long Course Age Group State Championships	Jul. 19–22, 2018
2018	VA 757 Swim Spring Splash	Jun. 01–03, 2018
2018	Illinois YMCA State Long Course Championships	Jul. 20–22, 2018
2018	FL CFM Marlin May Meet	May. 18–19, 2018
2018	OR MAC Long Course Invitational 2	Apr. 13–15, 2018
2018	Gulf Swimming Long Course Championships	Jul. 13–15, 2018
2018	Potomac Valley Junior Championships	Jul. 12–15, 2018
2018	NJ BAC Summer Champs	Jul. 20–22, 2018
2018	2018 Summer Slam Champs	Jun. 24, 2018
2018	SI SBA AB All Ages Meet	Apr. 20–22, 2018
2018	SR BY Boise Y Spring Fling	May. 18–20, 2018
2018	SD Scheels Independence Day Invite	Jul. 06–08, 2018
2018	NT LAC Div 1 BB & Above Long	Jul. 12–15, 2018
2018	2018 Cripps LC Age, Open & 11U	Mar. 09–12, 2018
2018	AZ LJAX Beat the Heat	Jun. 01–03, 2018
2018	FG T2 Aquatics Norris Foundation Meet	May. 25–27, 2018
2018	GU FCST June Gulf Summer Splash	Jun. 22–24, 2018
2018	VA STAT LC Invitational	May. 18–20, 2018
2018	OH BGSC Summer Invite	Jun. 02–03, 2018
2018	MT HLST Last Chance Invit	Jun. 29, 2018 - Jul. 01, 2018
2018	GA ASL 49th Annual Junior Jaguar Invitational	May. 11–13, 2018
2018	PC SRVA LCM C/B/A+	Apr. 28–29, 2018
2018	CA PST BRW Memorial Day Meet	May. 25–27, 2018
2018	OK P66 Splash Club Stars of Summer	Jun. 01–03, 2018
2018	NI STAR June Kick Off Meet	Jun. 01–03, 2018
2018	ST ASC Castaway Classic	May. 18–20, 2018
2018	WT COM Frost Bank Invitational	Jun. 07–10, 2018
2018	VA NOVA South Freedom Splash	May. 18–20, 2018
2018	MA LAC Speedo Classic	Jul. 06–08, 2018
2018	FG GRSC Summer Invitational	May. 18–20, 2018
2018	MT BOZ May Classic	May. 18–20, 2018
2018	CA CSCA May BRW	May. 25–27, 2018
2018	MI OLY Summer Classic	Jun. 15–17, 2018
2018	LA TAQ Christmas Meet	Nov. 30, 2018 - Dec. 02, 2018
2018	MR LIAC Summertime Classic	Jun. 09–10, 2018
2018	GU FCST Summer Splash	Jun. 22–24, 2018
2018	2018 IN JAGS Summer Invite	Jun. 22–24, 2018
2018	PV FISH Spring Fever LC Invitational	Apr. 07–08, 2018
2018	Lake Erie Swimming Senior Long Course Championships	Aug. 03–05, 2018
2018	Campeonato Nacional Inter Clubes	Dec. 13–16, 2018
2018	MI DRD Freeze or Fry	Jun. 15–17, 2018
2018	CA SAND Sandpipers Firecracker Invitational	Jul. 06–08, 2018
2018	CO TOPS Hilltopper Invite	May. 26–27, 2018
2018	BSF Last Chance Meet	Mar. 02–03, 2018
2018	2nd Age Group Meet	Nov. 17, 2018
2018	Ozark Swimming Long Course Championships	Jul. 26–29, 2018
2018	Adirondack Swimming Long Course Championships	Jul. 20–22, 2018
2018	CO Grand Junction Invite	Jun. 21–24, 2018
2018	SC YSSC 9th Annual YSSC LC Summer Splash	Jun. 01–03, 2018
2018	SI MRA Manta Ray Senior Meet	May. 18–20, 2018
2018	PNS 14&U Long Course Cham	Aug. 03–05, 2018
2018	NM LCAT Suntan Classic	May. 04–06, 2018
2018	PN IST Spring Open A-3 Me	May. 18–20, 2018
2018	GU SPA May LC Meet	May. 18–20, 2018
2018	NJ BAC Spring Invite	May. 06, 2018
2018	Gippsland Championships	Mar. 10–12, 2018
2018	CO Suburban League Pentat	Apr. 08, 2018
2018	X. Scitec Gyõr Open	Dec. 19–22, 2018
2018	NJ MAY Bring The Heat	Jun. 03, 2018
2018	Team Orca 7th Annual Winter In	Nov. 24, 2018
2018	NC SAIL Sailfish summer splash	Jul. 27–29, 2018
2018	AM TPIT Dan Mazzei Meet	Apr. 28–29, 2018
2018	MSF	Oct. 06, 2018
2018	TYR Spring Classic Closed	May. 12–13, 2018
2018	VIII Leskovacki Pobednik	Oct. 06, 2018
2018	NJ BAC April Splash & Dash	Apr. 21, 2018
2018	Saint Louis Showcase	Sep. 08, 2018
2018	OR CRST Big Wave Decathlon	May. 26–27, 2018
2018	NC WAVE Sprint into LC	Apr. 21–22, 2018
2018	LA TAQ Spring Invitational	Apr. 13–14, 2018
2018	NC YBAC Spring LC Invitat	May. 18–20, 2018
2018	Betsy Dunbar Long Course Invit	Jun. 02–03, 2018
2018	NT MTRO LC Time Trial Extravaganz	Jul. 08, 2018
2018	MR COND May Meters Matter Invitational	May. 04–06, 2018
2018	CA LKWD Lakewood Aquatics April L	Apr. 21–22, 2018
2018	CCAA-CEM Spring Long Course Un	Apr. 28–29, 2018
2018	FL WIN Winter Haven Stingrays Rowdy Cup	Apr. 20–22, 2018
2018	MI DRD Stars and Stripes Swim	Jun. 29, 2018 - Jul. 01, 2018
2018	Dolphin Swim Club Fall invitat	Oct. 13, 2018
2018	PV PAC Dive into Spring LC	Apr. 28, 2018
2018	Arizona Long Course Open	Jun. 22–24, 2018
2018	NI TTSC Natalie Lewis Spring Invitational	May. 18–20, 2018
2018	Potomac Valley 14&U Championships	Jul. 19–22, 2018
2018	NC STAR April Friday Night At The Races	Apr. 20, 2018
2018	MR AGUA Memorial Day Invitational	May. 26–27, 2018
2018	CT BULL Silver Invite	Jul. 20–22, 2018
2018	PC SCSC Santa Clara Walk On Meet	May. 13, 2018
2018	Family Guardian Barracuda Invitational	Nov. 10–11, 2018
2018	Friday Night at the Races #3	Jun. 01, 2018
2018	Miami Spring Meet - Transition Meet	Sep. 22, 2018
2018	AZ PSC Phoenix Spring Invitational	Apr. 20–22, 2018
2018	OK KMSC Spring Twister	May. 04–06, 2018
2018	NC QCD Long Course Invitational	Jul. 07–08, 2018
2018	OR THSC Summer Classic	Jul. 06–08, 2018
2018	MA NLAC Summer Kickoff	May. 19–20, 2018
2018	2018 OH PHST Jill Griesse Memo	Jun. 15–17, 2018
2019	18th FINA World Championships	Jul. 21–28, 2019
2019	FINA World Cup - Singapore	Aug. 15–17, 2019
2019	FINA Champions Swim Series	Apr. 27–28, 2019
2019	FINA World Cup - Jinan	Aug. 08–10, 2019
2019	CA MVN Fran Crippen Memorial Swim Meet of Champions	Jun. 20–23, 2019
2019	Чемпионат России Championship of Swimming in Russia	Apr. 08–12, 2019
2019	FINA World Cup - Tokyo	Aug. 02–04, 2019
2019	Panamerican Games	Aug. 06–10, 2019
2019	TYR Pro Swim Series - Richmond	Apr. 10–13, 2019
2019	Polish National Championships	May. 15–19, 2019
2019	LEN European Junior Championships	Jul. 03–07, 2019
2019	Phillips 66 Summer National Championships	Jul. 31, 2019 - Aug. 04, 2019
2019	SA National Aquatic Championship	Apr. 08–12, 2019
2019	TYR Pro Swim Series - Des Moines	Mar. 06–09, 2019
2019	7th FINA World Junior Championship	Aug. 20–25, 2019
2019	TYR Pro Swim Series - Bloomington	May. 16–19, 2019
2019	Polish Cup Arena Grand Prix	Apr. 06–07, 2019
2019	TYR Pro Swim Series - Knoxville	Jan. 09–12, 2019
2019	2019 Malmsten Swim Open Stockholm	Apr. 12–15, 2019
2019	Phillip 66 National Time Trials	Jul. 31, 2019 - Aug. 04, 2019
2019	SE AU Richard Quick Invitational	Jun. 21–23, 2019
2019	GA ABSC Bulldog Grand Slam	Jun. 21–23, 2019
2019	Southern Zone South Sectional	Mar. 07–10, 2019
2019	Southern Zone South Sectional Championships	Mar. 07–10, 2019
2019	SwimCup Eindhoven	Apr. 12–14, 2019
2019	TYR Pro Swim Series - Clovis	Jun. 12–15, 2019
2019	PC PASA-BAC Dual	Jun. 22, 2019
2019	Long Course Turkish championship	Aug. 03–06, 2019
2019	ARENA Grand Prix de Natación S	Apr. 11–15, 2019
2019	2019 Canadian Swimming Trials	Apr. 03–07, 2019
2019	2019 Aon New Zealand Open Championships	Jun. 17–21, 2019
2019	CA GWSC Golden West Senior Meet	Feb. 15–17, 2019
2019	Diamond Speedo Race	Feb. 23–24, 2019
2019	German National Championships Deutsche Meisterschaften	Aug. 01–04, 2019
2019	Flanders Swimming Cup	Jan. 19–20, 2019
2019	SE ENSW Ensworth July Invitational	Jul. 06–07, 2019
2019	GA SCAT Atlanta Classic Swim Meet	May. 17–19, 2019
2019	AZ MAC Speedo Invitational	May. 24–27, 2019
2019	Middle Atlantic Senior Long Course Championship	Jul. 10–13, 2019
2019	37. Internationales Hi-Point Meeting	Mar. 02–03, 2019
2019	27e MISO	May. 18, 2019
2019	Speedo Grand Challenge	May. 24–26, 2019
2019	SI CSA TYR Splash & Dash Meet	Jun. 14–16, 2019
2019	Liberty Insurance Singapore National Age Group Swimming Championship	Mar. 19–24, 2019
2019	Speedo Champions Series - Greensboro	Mar. 07–10, 2019
2019	Campeonatos Nacionais Juvenis e Absolutos de Portugal	Aug. 01–04, 2019
2019	TYR Pro Swim Series - Richmond Time Trials	Apr. 10–13, 2019
2019	Multination Junior	Apr. 13–14, 2019
2019	Neo garden 15th Singapore National Championship	Jun. 19–22, 2019
2019	North Carolina Swimming Long Course Senior Championships	Jul. 18–21, 2019
2019	Speedo Junior National Championships	Aug. 06–10, 2019
2019	CA TROJ Los Angeles Invitational	Jul. 11–14, 2019
2019	Irish Open LC Championships	Mar. 27–31, 2019
2019	2019 RBC Canadian Swimming Championships	Aug. 08–11, 2019
2019	Speedo Champions Series - Gainesville	Jul. 11–14, 2019
2019	New Zealand Age Group Championships	Apr. 16–20, 2019
2019	Speedo Eastern Canadian Championships	Apr. 11–14, 2019
2019	CCCAN Championships	Jun. 28, 2019 - Jul. 02, 2019
2019	Speedo Champions Series - Southern - College Station	Feb. 28, 2019 - Mar. 03, 2019
2019	Mel Zajac Jr. International Swim Meet	May. 24–26, 2019
2019	Bulgarian Open Team Championship	Apr. 19–21, 2019
2019	4. Velika nagrada Slovenije in MM Pingvinček`19	Mar. 09–10, 2019
2019	ST TXLA 11 & Over End of School Splash	May. 24–26, 2019
2019	Speedo Champions Series - Santa Clarita	Jul. 18–21, 2019
2019	GU AGS Texas Senior Circuit Long Course	Jun. 20–22, 2019
2019	Speedo Champions Series - Austin	Jul. 11–14, 2019
2019	Otvoreno prvenstvo Srbije	Mar. 15–17, 2019
2019	Grand Prix - Macedonia	Mar. 08–10, 2019
2019	Victorian Open Championships	Feb. 15–17, 2019
2019	CSi SOSC Qualifying Meet	Feb. 09, 2019
2019	Pacific Northwest Swimming Senior Championships	Jul. 25–27, 2019
2019	Letnje prvenstvo Srbije za juniore i apsolutno (Serbian Summer Nationals)	Aug. 02–04, 2019
2019	ST TXLA 11&Over Long Course	Apr. 26–28, 2019
2019	6. Int. Innsbrucker Schwimmmeeting	May. 11–12, 2019
2019	Campeonato Nacional Open de Natacion	Apr. 24–27, 2019
2019	2. Internationler Umblin Swim Cup Schwimmclub Frauenfeld	Jun. 01–02, 2019
2019	USA Swimming Futures Championships (Des Moines)	Aug. 01–04, 2019
2019	Speedo Champions Series - Minneapolis	Jul. 18–21, 2019
2019	16e Meeting Lemanique	Mar. 09–10, 2019
2019	Arizona Long Course Senior Open Championships	Jul. 25–28, 2019
2019	Santa Clara International	Jun. 06–09, 2019
2019	Potomac Valley Senior Championships	Jul. 11–14, 2019
2019	Minnesota Swimming Senior Long Course Championships	Aug. 01–04, 2019
2019	Georgia Open	Jul. 05–07, 2019
2019	NC MAC Charlotte Ultraswim	Jun. 13–16, 2019
2019	X Meeting Internacional da Povoa de Varzim	Feb. 02–03, 2019
2019	Slovak National Swimming Championship	Jun. 14–16, 2019
2019	Indiana Senior State Long Course Championships	Jul. 18–22, 2019
2019	AZ SAC Cactus Classic	May. 24–27, 2019
2019	PC WCAB Senior II Meet	Jul. 12–14, 2019
2019	YMCA Long Course National Championships	Jul. 30, 2019 - Aug. 03, 2019
2019	NC TAC TYR Triangle Classic	Jun. 14–16, 2019
2019	USA Swimming Futures Championships (Mount Hood)	Aug. 01–04, 2019
2019	Speedo Champions Series - Indianapolis	Mar. 28–31, 2019
2019	Первенство России среди юниоров / Russian Junior Championships	May. 15–19, 2019
2019	NJ EEX Jeffrey S Mace Memorial Summer	Jun. 28–30, 2019
