Year	Competition	Dates
2019	Easter International Swim Meet 2019	Apr. 25–27, 2019
2019	Campeonato Nacional de Natacion	Apr. 24–27, 2019
2019	MA BUCK Bucknell Long Course Classic	Jun. 13–16, 2019
2019	SM/Para-SM/JSM (50m) 2019	Jun. 28, 2019 - Jul. 02, 2019
2019	South Carolina Swimming Long Course State Championship	Jul. 18–21, 2019
2019	Speedo Champions Series - Cleveland	Jul. 18–21, 2019
2019	Sectional Time Trials - Rutgers	Jul. 18–21, 2019
2019	NCSA Summer Swimming Championship	Aug. 06–10, 2019
2019	Wisconsin Swimming 13 & Over Long Course State Championship	Aug. 01–04, 2019
2019	OH PHST Ohio Swimming Senior Championships	Jul. 11–14, 2019
2019	AM TPIT Eric Namesnik Memorial Sw	Jul. 12–14, 2019
2019	Louisiana State 13 and Over Championships	Jul. 18–21, 2019
2019	ST TXLA Longhorn New Year's Classic	Jan. 17–19, 2019
2019	2019 West Michigan Classic	Jul. 13–14, 2019
2019	New Jersey Swimming Long Course Junior Olympics	Jul. 25–28, 2019
2019	IA L4A Swim Pink A+ Invitational	Jun. 21–23, 2019
2019	Championnats de France Juniors	Mar. 12–17, 2019
2019	Virginia Swimming Senior Long Course Championships	Jul. 18–22, 2019
2019	Southern Zone Senior Championships	Jul. 30, 2019 - Aug. 03, 2019
2019	XXXIV Carifta Swimming Championships	Apr. 20–23, 2019
2019	MR LIAC Spring Kick-off Invitational	May. 11–12, 2019
2019	MI CW Eric Namesnik Memorial	Jul. 05–07, 2019
2019	Southeastern Long Course Championship	Jul. 18–21, 2019
2019	Speedo Champions Series - Mount Hood	Jul. 18–21, 2019
2019	2nd Annual St. Louis Showcase	Sep. 14, 2019
2019	PC OAPB Far Western LCM Championships	Jul. 25–28, 2019
2019	HP Australian Age Championships	Apr. 15–22, 2019
2019	Letnie Mistrzostwa Polski juniorów 16-year-olds	Jul. 10–12, 2019
2019	Selectivo XVIII Juegos Panamericanos, 18FINA World Swimming	Apr. 25–28, 2019
2019	DM/JDM 50m Karlshamn	Jun. 01–02, 2019
2019	Georgia Senior State Long Course Championships	Jul. 26–29, 2019
2019	FL BSS TYR Summer Classic	Jun. 21, 2019
2019	AZ PSC Phoenix Summer Invitational	Jun. 07–10, 2019
2019	Bahamas National Championship	Jun. 20–23, 2019
2019	Speedo Champions Series - Jenks	Jul. 17–20, 2019
2019	40. Internationales TUK-Turnier 2019	May. 25, 2019
2019	OH BGSC Summer Invite	Jun. 01–02, 2019
2019	Illinois Swimming Senior Long Course Championships	Jul. 11–14, 2019
2019	New England Senior Championships	Jul. 11–14, 2019
2019	ManSask LC Provincial Championships	Jul. 04–07, 2019
2019	Michigan Swimming 13-14 & Open Long Course State Championship	Jul. 25–28, 2019
2019	Sun Devil Spring Open	Apr. 26–28, 2019
2019	OR MHA Howard Jones Memorial Senior Meet	Jun. 21–23, 2019
2019	Miami Super Challenge	Jan. 19, 2019
2019	2019 Spring Ontario Swimming Championships	Feb. 28, 2019 - Mar. 03, 2019
2019	Speedo Champions Series - Rutgers	Jul. 18–21, 2019
2019	FL YCF Summer Solstice Invitational	Jun. 14–16, 2019
2019	Colorado Swimming Senior Long Course Championships	Jul. 18–21, 2019
2019	ISCA TYR Summer Senior Championship	Jul. 30, 2019 - Aug. 04, 2019
2019	Lake Erie Senior Championships	Mar. 15–17, 2019
2019	11. April Grand Prix 2019	Apr. 06–07, 2019
2019	USA Swimming Futures Championships (Greensboro)	Aug. 01–04, 2019
2019	XV Copa Julio Maglione 2019	Jun. 12–15, 2019
2019	ISCA TYR Junior Nationals	Mar. 26–30, 2019
2019	CA MVN Day-After-CIF	May. 05, 2019
2019	Singapore Swim Series	Jan. 18–20, 2019
2019	British Columbia Summer Provincial Championships	Jul. 04–07, 2019
2019	2019 MV LCM Championships	Jul. 25–28, 2019
2019	Finals - Arena Western Zone Series	Jul. 30, 2019 - Aug. 03, 2019
2019	Slovenian Championships / Odprto prvenstvo Slovenije	Aug. 01–05, 2019
2019	SA Junior National Championships	Mar. 20–24, 2019
2019	Speedo Champions Series - Buffalo	Mar. 28–31, 2019
2019	Coupe du Québec Été	Jul. 04–07, 2019
2019	USA Swimming Futures Championships (Geneva)	Aug. 01–04, 2019
2019	48ème Meeting Swann Oberson	May. 03–05, 2019
2019	Justas de Campeonato LAI 2019	Apr. 23–25, 2019
2019	South Dakota Swimming Long Course Championships	Jul. 26–28, 2019
2019	Baltic States Swimming Championships 2019	Mar. 22–23, 2019
2019	NC GCY LC Single Day Splash	Apr. 06, 2019
2019	OZ CSC Summer Invite	Jun. 14–16, 2019
2019	NC HPSC Tar Heel States Meet	Jul. 26–28, 2019
2019	2019 CA FAST SUMMER JOS	Jul. 24–28, 2019
2019	Utah Swimming Long Course Championships	Jul. 17–20, 2019
2019	PV NCAP June LC Invitational	May. 31, 2019 - Jun. 02, 2019
2019	Florida Gold Coast Senior Long Course Championships	Jul. 26–28, 2019
2019	OH SYOSL League Championships	Jul. 11–14, 2019
2019	CA MVN Summer Junior Olympics	Jul. 24–28, 2019
2019	AZ PSC Phoenix Last Chance	Jun. 28–30, 2019
2019	KY CARD Derby Pro Invite	Apr. 27–28, 2019
2019	Connecticut Swimming Senior Long Course Championships	Jul. 18–21, 2019
2019	Metropolitan Senior Championships	Jul. 18–21, 2019
2019	Speedo Western Canadian Championships	Apr. 11–14, 2019
2019	CA NOVA June Age Group Invite	Jun. 13–16, 2019
2019	2019 Summit Long Course Invite	Feb. 24, 2019
2019	V Dominican Republic Int. Swim	Apr. 11–14, 2019
2019	33. Internationale Deutsche Meisterschaften	Jun. 06–09, 2019
2019	2da Clasificatoria LC LAI 2019	Mar. 02, 2019
2019	USA Swimming Junior National Time Trials	Aug. 06–10, 2019
2019	35 Meeting Internacional do Porto	Jun. 01–02, 2019
2019	APS Boys' Combined Swimming	Mar. 27, 2019
2019	NT MARS Bill Nixon Memori	Jun. 13–16, 2019
2019	VA LY June Jam	Jun. 21–23, 2019
2019	48. Meeting Internazionale del Castello	May. 18–19, 2019
2019	Para World Series Singapore	May. 10–12, 2019
2019	CA SCSC Superleague Santa Clara	Jul. 12–14, 2019
2019	FL CAT Al Soltis Memorial Meet	Jan. 18–20, 2019
2019	Campeonato Nacional Abierto	Apr. 23–27, 2019
2019	CA WCAB Post-NCS Senior LCM	May. 05, 2019
2019	Ljetno Prvensvo Republike Srpske	Jun. 01–02, 2019
2019	WI LAKE Western Great Lakes Open	Jun. 28–30, 2019
2019	MI OLY Summer Classic	Jun. 14–16, 2019
2019	GU TWST Senior LC Invite	Jun. 28–30, 2019
2019	DLOP Starsha	Aug. 02–04, 2019
2019	Open Lithuanian Junior-Youth Championships	Apr. 12–13, 2019
2019	43rd South East Asia Group Swimming Championship	Jun. 28–30, 2019
2019	SE NAC BridgeAthletic Summer Sizzler	Jun. 20–22, 2019
2019	Championnats Speedo - FFBN OPEN	Feb. 16–17, 2019
2019	Hawaii Long Course Senior Championship	Jun. 28–30, 2019
2019	LE LESD Jerry Holtrey Summer Invitational	Jun. 13–16, 2019
2019	FL ATAC Long Course Invitational	Jun. 27–30, 2019
2019	San Diego-Imperial Long Course Junior Olympic Championships	Jul. 25–28, 2019
2019	KY LAK 91st Ohio Valley Championship	Jun. 06–08, 2019
2019	VA CGBD Summer Madness LC Invitation	Jun. 21–23, 2019
2019	2019 Grand Prix Invitational	Feb. 22–24, 2019
2019	GU TWST Senior Open Meet	May. 17–19, 2019
2019	Florida Swimming Senior Long Course Championships	Jul. 25–28, 2019
2019	Eastern Senior Zone Championship	Aug. 01–04, 2019
2019	Eastern Zone Senior Championships Time Trial	Aug. 01–04, 2019
2019	XXVII Campeonato Sudamericano Juvenil Natacion	Apr. 09–13, 2019
2019	Первенство России среди юношей и девушек / Russian Age Group Championships	May. 04–08, 2019
2019	XXXIX Copa Pacifico	Jun. 12–15, 2019
2019	SE BAY Arena Long Course Invitational	Apr. 26–28, 2019
2019	FG SFTL International Classic	Jun. 21–23, 2019
2019	OH CM TYR Invite	Jun. 20–23, 2019
2019	16. Holiday Trophy 2019	Jun. 22, 2019
2019	UT CHAT Cottonwood Heights Invitational	Jun. 19–22, 2019
2019	SI NCA Senior Time Trial	May. 05, 2019
2019	NE NSSC LCM Specialty Meet at MIT	May. 10–12, 2019
2019	Swim BC Winter Provincial Championships	Mar. 07–10, 2019
2019	MA GPAC May Closed Invitational	May. 04–05, 2019
2019	FL YCF Short Course Splash	Jul. 30, 2019 - Aug. 02, 2019
2019	Maryland Swimming Long Course Championships	Aug. 01, 2019
2019	Kentucky 13 & Over State Long Course Championships	Jul. 25–28, 2019
2019	PN TSC Sixth Annual Dick Hannula Invitational	Jun. 22–23, 2019
2019	Hawaiian Swimming Age Group Long Course State Championships	Jul. 18–21, 2019
2019	Scottish National Age Group Championships	Mar. 27–31, 2019
2019	Miami Spring Meet	Sep. 07, 2019
2019	VA PSDN Long Course Spring Luau	Jun. 15–17, 2019
2019	LH-Games 2019	Jul. 05–07, 2019
2019	NJ BAC Winter Invite	Jan. 18–20, 2019
2019	NC NCAC Meet on the Hill	May. 17–19, 2019
2019	AR HAWG Aquahawgs LC Opener	Apr. 27–28, 2019
2019	NT DM Senior Circuit #1 LCM	May. 31, 2019 - Jun. 02, 2019
2019	Black Sea Cup - Second Edition	Jun. 07–09, 2019
2019	Laxaleken	May. 24–26, 2019
2019	2019 CO TOPS Hilltopper Invite	May. 18–19, 2019
2019	CA RMDA La Mirada Senior LC Invitational	Apr. 12–14, 2019
2019	ST TXLA Texas Open	Jun. 21–23, 2019
2019	S'pore Swim Series Presented	Feb. 15–17, 2019
2019	Lentecriterium	May. 04, 2019
2019	MI MLA Big Red Challenge	Jun. 07–09, 2019
2019	DM 2019 Långbana	May. 25–26, 2019
2019	Lake Erie Swimming Senior Championships	Jul. 26–28, 2019
2019	Sum-Sim (50m) 2019	Jul. 10–14, 2019
2019	Multinationals Youth cup 2019	Apr. 13–14, 2019
2019	2019 MV UMIZ Invite	Apr. 26–27, 2019
2019	Grand Prix International de la ville de La Louvière 2019	May. 04–05, 2019
2019	MR LIAC Speedo Long Island Challenge	Apr. 26–28, 2019
2019	Bulgarian Open Championship	Apr. 19–21, 2019
2019	FG NPB Summer Kickoff	Jun. 01–02, 2019
2019	47° Meeting Internazionale del Verbano	May. 11–12, 2019
2019	SNS LCM Championship "The Bill Rose Classic"	Jul. 11–14, 2019
2019	WI SWAT Summer Grand Prix	Jun. 14–16, 2019
2019	WI PX3 Speedo Premier Open - Wisconsin	May. 24–26, 2019
2019	MD NBAC Long Course Championship	Jun. 07–10, 2019
2019	Letnie Mistrzostwa Polski Juniorow / Polish Juniors 15 & Under	Jul. 05–07, 2019
2019	AM LC TPIT Junior Olympic Championships	Jul. 25–28, 2019
2019	Victorian Metro Long Course Championship	Mar. 08–11, 2019
2019	PC PLS Senior Open	Jun. 22–23, 2019
2019	Letnja liga Beograda / Belgrade Summer League	Jun. 01–09, 2019
2019	SN CCA Summer Sanders LCM Invitational	Jun. 06–09, 2019
2019	FL SYS Sarasota Sharks Open	Jun. 20–23, 2019
2019	NC GSA Eastern Invitational	Jun. 20–23, 2019
2019	VA 757 Swim Spring Splash	May. 31, 2019 - Jun. 02, 2019
2019	2019 NSW State Open Championships	Mar. 15–17, 2019
2019	IN IA Summer Spectacular	Jul. 12–14, 2019
2019	Rencontres Genevoises 2019	Jun. 01–02, 2019
2019	IV Tournament Spartak	May. 10–12, 2019
2019	Grand Prix Burgas	Apr. 12–14, 2019
2019	Iowa Swimming Long Course Championships	Jul. 25–28, 2019
2019	NJ SCAR Scarlet Memorial Day	May. 25–26, 2019
2019	Speedo Sectionals - Rochester	Mar. 14–17, 2019
2019	2019 Swimming Tas LC Age, Open	Mar. 07–11, 2019
2019	NC EAC Independence Invitational	Jun. 28–30, 2019
2019	ST TXLA Long Course TAGS	Jul. 24–28, 2019
2019	Campionati Ticinesi di Categoria Estivi 2019	Jul. 06–07, 2019
2019	CA PLS Pleasanton Seahawks Long Cours	Apr. 13–14, 2019
2019	Auckland Age Group Championships	Mar. 08–10, 2019
2019	ST AAAA Senior Circuit LC	Jul. 25–28, 2019
2019	Midwestern Swimming Long Course Championships	Jul. 25–28, 2019
2019	MD NBAC Mid-Summer Classic	Jul. 11–14, 2019
2019	FL CAT Spring Florida International	Mar. 20–23, 2019
2019	GU FCST Gulf Summer Champs	Jul. 19–21, 2019
2019	VA NOVA LC Winter Invitational	Jan. 19–21, 2019
2019	FL International Championships	Aug. 01–04, 2019
2019	2019 Sydney Open	May. 10–12, 2019
2019	CC CLOV Arena Grand Challenge	Jul. 05–08, 2019
2019	Meeting du Lac 2019	Jun. 22–23, 2019
2019	NC YBAC Spring LC Invitat	May. 17–19, 2019
2019	CT WYW Wilton Wahoos Summer Invitational	May. 30, 2019 - Jun. 02, 2019
2019	CA SCSC Senior Walk On	May. 05, 2019
2019	CA LVSC BRW JAG LC Qualifier	Jun. 08, 2019
2019	CA GWCA Senior Regional Championships	Aug. 02–05, 2019
2019	MD NBAC Spring LC Invitation	May. 17–19, 2019
2019	OH CAC 24th Annual CAC Summer Meet	Jun. 07–09, 2019
2019	FL CAT Escape the Heat Meet	Jun. 07–09, 2019
2019	2019 PV RMSC Spring LC Classic	May. 03–05, 2019
2019	PS PLS Pleasanton Seahawks Long Course Invitational	Jun. 01–02, 2019
2019	BISP Flying Fish Invitational	Apr. 26–28, 2019
2019	VA SNOW Long Course Invitational	Jun. 14–16, 2019
2019	2019 Stars and Stripes	Jun. 14–16, 2019
2019	CT WHAT West Hartford Aquatics Invite	May. 17–19, 2019
2019	CA RMDA La Mirada June Invite	Jun. 13–16, 2019
2019	Indiana Age Group Long Course Championships	Jul. 26–28, 2019
2019	Arizona Long Course Age Group State Championships	Jul. 18–21, 2019
2019	MN AQJT Aquajets Summer Invitational	Jul. 05–07, 2019
2019	NI STAR June Kick Off Meet	May. 31, 2019 - Jun. 02, 2019
2019	Illinois Age Group Championships	Jul. 25–28, 2019
2019	CA RAA Summer Junior Olympics	Jul. 24–28, 2019
2019	CA SLO Firecracker	Jun. 28–30, 2019
2019	Championnats Speedo - FFBN Jeunes	Jan. 19–20, 2019
2019	Первенство города Абакана, посвященное "Дню Победы в Великой Отечественной Войне"	May. 06–08, 2019
2019	MA JW Jersey Wahoos Summer Solstice	Jun. 21–23, 2019
2019	CT WAC Woodbridge Aquatic Club Invitational	Jun. 07–09, 2019
2019	NJ BAC Memorial Day Invitati	May. 24–26, 2019
2019	MLC Aquatic February Long Course	Feb. 10, 2019
2019	MD EST Eagle Swim Team Speedo Sizzler	May. 31, 2019 - Jun. 02, 2019
2019	Western Zone Age Group Championship	Aug. 07–10, 2019
2019	LE WRSC 51st Freedlander Meet	Jun. 28–30, 2019
2019	Malta Championships	Jul. 10–13, 2019
2019	Niagara Swimming Long Course Championships	Jul. 18–21, 2019
2019	VA BASS Jim Fry Memorial Invitational May	May. 04–05, 2019
2019	VA TIDE Speedo Red, White and Blue	May. 31, 2019 - Jun. 02, 2019
2019	CA DSS Memorial Day Invite	May. 24–26, 2019
2019	MR COND Summer Solstice Invitational	May. 31, 2019 - Jun. 02, 2019
2019	3rd Latvian Junior and Youth Championship	May. 03–04, 2019
2019	2019 SwimRVA Summer Invitational	Jun. 14–16, 2019
2019	FL T2 Aquatics Norris Foundation Meet	May. 24–26, 2019
2019	FG FLA International Cup	Jun. 27–30, 2019
2019	Oklahoma Swimming Long Course Championship 2019	Jul. 26–28, 2019
2019	1ra Justa Clasificatoria LAI 2	Feb. 02, 2019
2019	Oregon Swimming 11 & Over Championships	Jul. 25–28, 2019
2019	Slovak Junior Championships Majstrovstvá SR juniorov	May. 31, 2019 - Jun. 02, 2019
2019	Mississippi Swimming State Championships	Jul. 18–21, 2019
2019	Middle Atlantic Junior Olympic Long Course Championships	Jul. 18–21, 2019
2019	Central Zone (ND) Age Group Championship	Aug. 01–04, 2019
2019	PV FISH LC Derby	May. 04–05, 2019
2019	North Carolina Long Course Age Group Championships	Jul. 11–14, 2019
2019	MV EKC Rose Memorial	May. 10–12, 2019
2019	CA BUEN SCS June Age Group Champs	Jun. 13–16, 2019
2019	MN HURR Spring into Summer	Jun. 21–23, 2019
2019	Eastern Zone Age Group Championships	Aug. 07–10, 2019
2019	SE ENSW Ensworth Officially Summer Invitational	May. 17–19, 2019
2019	Arena Open /NM	May. 11–12, 2019
2019	UT KYAT Swim Utah Dino Meet	Jun. 21–23, 2019
2019	KY KYA Derby Classic Invitat	May. 17–19, 2019
2019	3ra Clasificatora LC LAI	Apr. 06, 2019
2019	Central Zone (WI) Age Group Championship	Aug. 01–04, 2019
2019	FL WFLA Spring Open	May. 03–05, 2019
2019	South Texas Age Group Championships (STAGS)	Jul. 11–14, 2019
2019	MR PATS Patriot Spring Invitational	May. 04–05, 2019
2019	Santa Clarita Sectional Time Trials	Jul. 18–20, 2019
2019	CA CANY Canyons Aquatic Club Memorial Day Meet	May. 24–26, 2019
2019	CT WHAT June Invitational	Jun. 28–30, 2019
2019	2019 VSI Long Course Age Group	Jul. 25–28, 2019
2019	IA IFLY David Armbruster Open	May. 17–19, 2019
2019	Ozark Swimming Long Course Championships	Jul. 25–28, 2019
2019	PVS Long Course 13 & Over Championships	Jul. 18–21, 2019
2019	VA TIDE wipe out speedo challenge	May. 03–05, 2019
2019	PC QSS Super Last Chance Meet	Jun. 28–30, 2019
2019	DM/JDM 2019	Jun. 01–02, 2019
2019	PC RENO Summer Splash	Jun. 21–23, 2019
2019	SI SBA National BB Min Al	Jul. 05–07, 2019
2019	NT MAC "BB" and lower long course meet	Jun. 27–30, 2019
2019	NT MAC North Texas Senior Meet	May. 17–19, 2019
2019	FL CFM Marlin May Meet	May. 17–18, 2019
2019	OR MAC Long Course Invitational	Apr. 26–28, 2019
2019	PC TERA LCM JO's	Jul. 12–14, 2019
2019	AZ MAC Narwhal Invite	Jun. 14–16, 2019
2019	CO MAVS Grand Junction Invite	Jun. 20–23, 2019
2019	MA KA Memorial Classic	May. 31, 2019 - Jun. 02, 2019
2019	VA WAC Summer Sizzle	Jun. 22–23, 2019
2019	LE GLSS Robert F. Busbey Invitational	May. 17–19, 2019
2019	CO CAC Long Course Open	Jun. 14–16, 2019
2019	PV Fish LC June Invitational	Jun. 08–09, 2019
2019	GU FCST June Gulf Summer Splash	Jun. 21–23, 2019
2019	Campionati Ticinesi e Regionali di Categoria di Mezzofondo	Jun. 10, 2019
2019	Southern Zones Age Group Championship	Jul. 30, 2019 - Aug. 03, 2019
2019	FL WFLA Lightning Invitational	Jun. 14–16, 2019
2019	ROS Meisterschaften RM Sommer 2019	Jun. 15–16, 2019
2019	2019 GCST Spring Open	Apr. 26–28, 2019
2019	IA ACAC Summer Detasseler	Jul. 13–14, 2019
2019	Arizona Long Course Open	Jun. 21–23, 2019
2019	IL PAC Patriot Pride Prelim/Final	Jun. 21–23, 2019
2019	WT COM Frost Bank Invitational	Jun. 06–09, 2019
2019	Florida Gold Coast Junior Olympics Long Course	Jul. 18–21, 2019
2019	2019 Sunshine State Games	Jun. 07–09, 2019
2019	PC CARS Intermountain Classic	May. 24–26, 2019
2019	2019 MV TSA Voorhees-Maxfield	Apr. 26–28, 2019
2019	FL BSS 50	Apr. 26–28, 2019
2019	PN IST Spring Open A-3 Me	May. 17–19, 2019
2019	CT GRYM June Invitational	Jun. 21–23, 2019
2019	AD SHRK Sharks Invitational	Jul. 05–07, 2019
2019	OH CLPR DAVID WEBB	Jun. 21–23, 2019
2019	MR LIAC Summertime Classic	Jun. 08–09, 2019
2019	FS BSS Bolles School Sharks May	May. 10–12, 2019
2019	NT MARS Open LC Invitational	May. 17–19, 2019
2019	5th Annual Karen Hohne Memorial	Apr. 27–28, 2019
2019	Ohio Swimming Junior Olympics	Jul. 18–21, 2019
2019	2019 GU Bay Area Invitational	Apr. 26–28, 2019
2019	NJ HACY Jeff Lowe Summer Fun Meet	Jul. 16, 2019
2019	FL SYS Sharks Long Course January Inv	Jan. 19–20, 2019
2019	CT CDOG June Distance Meet	Jun. 14, 2019
2019	MV TSA Beach Bash at Blaisdell	May. 31, 2019 - Jun. 02, 2019
2019	AD Long Course Champs	Jul. 26–28, 2019
2019	MA NLAC Swimfest Long Course	Jun. 21–23, 2019
2019	DLOP Mladsha / Bulgarian Junior Championships	Jul. 19–21, 2019
2019	2019 Alpha Aquatics Internatio	Mar. 08–09, 2019
2019	50. Lučkin pokal 2019	Jun. 01, 2019
2019	Dragons Den International Open	Apr. 26–28, 2019
2019	WI FSC Fond du Lac Swim Club SOS	Jun. 21–22, 2019
2019	Mako Aquatics Club Spring Invitational	May. 25, 2019
2019	CO TOPS Long Course Tri M	Jan. 05, 2019
2019	VA STAT LC Invitational	May. 17–19, 2019
2019	SEASAC Senior Swimming Championship	Mar. 01–02, 2019
2019	Finis Cup	May. 25–26, 2019
2019	TYF ULUSLARARASI MASTERLAR KIŞ YÜZME ŞAMPİYONASI	Feb. 01–03, 2019
2019	IL LFSC Daniel Jaekel Friendship Classic	May. 04–05, 2019
2019	RSR: Championnat Romand Eté	Jun. 14–16, 2019
2019	NJ HACY Summer Solstice	Jun. 08–09, 2019
2019	WI SSTY Schroeder Distance-Sprint Meet	May. 18–19, 2019
2019	New Years Invitational	Feb. 02–03, 2019
2019	X Copa Internacional Chorotega	Apr. 12–15, 2019
2019	SC LSC Carolina Crown Challenge	Apr. 27, 2019
2019	Prairie Winter International 2	Mar. 07–10, 2019
2019	Landsbankamót 13 ára og eldri (National 13&Under)	May. 18–19, 2019
2019	KAJ Snowfest	Jan. 18–20, 2019
2019	29th Centralised SSPA	Feb. 24, 2019
2019	TYR Pro Series Swim Time Trials	Apr. 10–13, 2019
2019	OH BASH PCY Summer Classic	May. 17–19, 2019
2019	IN FAST Summer Jam Invitational	Jun. 14–16, 2019
2019	Western Zone Time Trials	Jul. 30, 2019 - Aug. 03, 2019
2019	Mega Swim Meet	Apr. 06–07, 2019
2019	AZ RIO LC Season Opener	May. 17–19, 2019
2019	MD CBAC Spring LC Swim Meet	Apr. 12–14, 2019
2019	GA SCAT Summer Sizzler	Jun. 07–09, 2019
2019	MN MTKA Spring Long Course	May. 18–19, 2019
2019	MR LIE June Summer Kickofff	Jun. 07–09, 2019
2019	MW LSS Capital City Class	Jun. 20–23, 2019
2019	2019 PN Dick LaFave A-1 Meet	Apr. 26–28, 2019
2019	Polisen HEAD Summer Cup 2019	Jun. 28–30, 2019
2019	Internationaler Basler Cup	May. 25–26, 2019
2019	VA NOVA South Freedom Splash	May. 17–19, 2019
2019	FG CSSC Coral Springs Invitational	Apr. 26–28, 2019
2019	MI YPSI Aqua Splash and Dash	May. 04, 2019
2019	International Bavarian Summer Championships	Jul. 13–14, 2019
2019	OH GTAC Holy Toledo Invitational	May. 17–19, 2019
2019	ST ASC Coup de Gras	Jun. 22–23, 2019
2019	Long Course Bison Sprint/	May. 11, 2019
2019	Alaska Long Course Championships	Jul. 26–28, 2019
2019	GU ESCA Gulf June Long Cours	Jun. 14–16, 2019
2019	NE NSSC Team Specialty at MIT	Jul. 05–07, 2019
2019	NT ATAC Long Course A/BB/	Jun. 22–23, 2019
2019	CA ORCA Summer Sizzler TF	Jun. 28–30, 2019
2019	June Jubilee	Jun. 29–30, 2019
2019	48. Internationales Eulach-Meeting	May. 18–19, 2019
2019	GU ESCA Gulf May LC Meet	May. 17–19, 2019
2019	NTS February Age Group Championships	Feb. 15–16, 2019
2019	Färsingadoppet 2019	Jun. 14–16, 2019
2019	IN BBSC Summer Splash	Jul. 12–14, 2019
2019	3rd Annual Lyford Cay invitati	Feb. 16, 2019
2019	IL WEST TYR Dive into Summer	May. 18–19, 2019
2019	FL EAJ Summer Sizzler	Jun. 28–30, 2019
2019	SE NAC All American Spring Classic	May. 18–19, 2019
2019	UT SUSA LC Kickoff	Mar. 29–30, 2019
2019	PV Early Bird LC Invitational	May. 04–05, 2019
2017	Langbahn-Schweizermeisterschaft	Mar. 22, 2017
2018	Sommer-Schweizermeisterschaft	Jul. 12, 2018
2019	Langbahn-Schweizermeisterschaft	Mar. 21, 2019
2019	100. Eesti Meistrivõistlused ujumises	May. 10, 2019
2019	Íslandsmeistaramótið í 50m lau	Apr. 5, 2019
2019	Sommer-Schweizermeisterschaft	Jun. 27, 2019
2019	SCUW Clubmeisterschaften	Sep. 8, 2019
2019	Eesti Juunioride ja Noorte meistrivõistlused	Jun. 15, 2019
2019	Junior Swiss Championship / Nachwuchs-Schweizermeisterschaft	Jul. 17, 2019
2019	5. Int. Rheinfallmeeting - Arena Cup	May. 25, 2019
2019	RZO: Regionale Sommermeisterschaften 2019	Jun. 22–23, 2019
2018	Speedo Champions Series - Pleasant Prairie	Mar. 8, 2018
2019	Irish Summer Nationals	Jul. 24–28, 2019
2017	LCY NATS BOTH	Jul. 31, 2017
2017	MP Closed Senior Meet	Jun. 25, 2017
2017	2017 MI CW July Closed Meet	Jul. 20, 2017